date,tweet,year,hour,month,day,RT_flag
2020-02-29 14:59:56,"RT @HON5437: 何の前触れなく全国公立学校に休校要請を行い、全国の家庭や教育現場を大混乱に陥れた無能安倍晋三。
その翌日28日、対応に追われて多くの人々が苦労する中で、無能安倍は百田尚樹・有本香といったお友達を首相公邸でおもてなし。お友達に会う前に感染症専門家に会って…",2020,14,2,29,True
2020-02-29 14:59:56,"RT @AbemaTIMES: GENERATIONS、ドバイ王族のお宅訪問に大興奮！すべてが規格外の豪華さに呆然「お家ですよね？」

https://t.co/VzVyKvVBji
#GENERATIONS #GENE高

https://t.co/VzVyKvVBji",2020,14,2,29,True
2020-02-29 14:59:56,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
2020-02-29 14:59:56,RT @00qansfreedom93: ひろさんゲンキさんと飲む！ https://t.co/RKR8uKkWMn,2020,14,2,29,True
2020-02-29 14:59:56,RT @_namaehamadanai: 先程彼氏と喧嘩しまして『もう今日は実家に帰るから』って彼氏が家を飛び出してって、1人呆然と突っ立ってたら突然インターホンが鳴り、なんだろうと思って出たらセブンのでっかいケーキ持ってニヤニヤしてる彼氏がいました。『2人で食べたくて帰ってき…,2020,14,2,29,True
2020-02-29 14:59:56,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
2020-02-29 14:59:55,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
2020-02-29 14:59:55,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
2020-02-29 14:59:55,"RT @__haroha__: @tama_punpa 私も同じドラッグストアの店員です。
人の嫌な部分をたくさん見て本当に心から疲れました。
買えないと怒り出す人や嫌味を言う人。
お一人様1日1点までなのに何度も店員やレジを変えて会計する方…
こちらも売りたい気持ちはあるんで…",2020,14,2,29,True
2020-02-29 14:59:55,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
2020-02-29 14:59:55,RT @yujinfuse: こんなのは「記者会見」とは言わないだろう。自分の言葉で質問に回答する自信がないから、事前に質問を提出させて役人が用意した原稿を読み上げ、一方的に会見を打ち切るなどという恥ずかしい姿をさらすのだ。そんな首相の具体性のない対策をどうやって信用しろという…,2020,14,2,29,True
2020-02-29 14:59:54,"RT @product1954: いかん。18:00をすぎてしまった
●責任を痛感すると言うだけで責任を取らない
●後手後手と批判されてカッとなり独断発言で日本を混乱に陥れる
●マルチ商法の広告塔になって被害者を続出させた
●子飼い検事長を検察トップに据えて逮捕を免れようとする…",2020,14,2,29,True
2020-02-29 14:59:54,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
2020-02-29 14:59:54,"RT @ISOKO_MOCHIZUKI: 全国の小中高の休校を突如、要請しておきながら #安部首相 と #長谷川栄一広報官 によるあんなグダグダの台本通りの会見で終わらせるな。

安部首相はもう一度、会見を開き、海外含め幅広い分野の記者からの質問受け、国民の疑問に真摯に答えるべ…",2020,14,2,29,True
2020-02-29 14:59:54,RT @joelletherebel: このポスターをデザインした人に、ドラえもんのロゴのマージンをなぜ均等じゃなくしたのか訊いてみたら返事きた。言ってることは理解できるんだけど、自分でこの配置にする勇気があるかというと無い。正直「落ち着かないな」と感じる。でもそこが ”一握り…,2020,14,2,29,True
2020-02-29 14:59:54,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
2020-02-29 14:59:54,"RT @Rp1cY56x26t5aKc: 【重要】バスり記念&amp;YouTubeチャンネル開設記念！
抽選で3名様に任天堂Switchをプレゼントさせてください！応募方法はねこまるすいさんアカウントのフォローと、このツイートのリツイートです！締切は2月いっぱい！
当選者はYouTu…",2020,14,2,29,True
2020-02-29 14:59:54,"RT @uni_mafumafu: 【MV】人生逆転の神業／After the Rain【そらる×まふまふ】https://t.co/RMlXaDVb4t

７×２つの大罪　伍
AtR新曲投稿しました。

去年末、この頃の自分は生き生きとしたロックを作っている。
ここ数日は胸の…",2020,14,2,29,True
2020-02-29 14:59:53,RT @aoiumitos: 二時間近くﾈｺﾁｬﾝが膝の上に乗ってて何も出来ず、さっき意を決して自然にスッ…てﾈｺﾁｬﾝおろしたらめちゃくちゃびっくりした顔して「ビックリした…ビックリしてｶｲﾇｼの膝からおりちゃた…失敗失敗…」てまたのぼってきてｽﾔｽﾔしてしまい再び何も出来な…,2020,14,2,29,True
2020-02-29 14:59:53,"RT @tama_punpa: ドラッグストア店員の思いです。
私たちも同じ人間です。
ありがとう、頑張ってねが一個でもあれば良いのに。
すみません、申し訳ございませんばかりで疲れました。
#コロナウイルス https://t.co/Lf9XU5Ddjh",2020,14,2,29,True
