hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,316,290,135,177,330,121,261,92,84,25,3,14,6,12,1,18,1,0,6,8,5
1.0,321,220,107,175,414,114,292,111,116,18,3,7,0,14,6,24,6,2,5,6,2
2.0,312,238,96,194,390,113,276,114,101,18,2,7,1,11,7,15,1,0,7,6,0
3.0,482,368,190,231,663,187,412,179,219,36,7,9,7,6,5,21,0,0,10,11,3
4.0,447,254,161,231,606,188,357,163,147,35,3,7,7,14,3,31,3,4,8,8,12
5.0,380,203,159,200,534,152,380,112,138,34,0,3,7,8,3,24,4,3,10,10,8
6.0,429,214,151,166,597,155,374,120,146,33,1,9,4,13,6,24,4,1,2,9,3
7.0,449,216,179,229,673,205,472,151,158,32,3,6,7,14,5,30,5,4,7,16,7
8.0,549,267,219,253,842,229,525,191,207,49,3,8,13,12,7,27,2,2,6,14,13
9.0,757,325,276,274,991,335,637,261,268,57,5,16,12,21,7,51,4,1,12,28,8
10.0,765,292,260,271,979,265,661,249,283,59,8,7,10,17,10,47,3,1,5,29,6
11.0,842,265,253,345,1051,311,676,260,269,62,2,12,14,18,8,42,7,7,16,21,7
12.0,878,298,304,341,1101,331,718,268,301,63,5,13,18,20,9,45,3,6,7,24,7
13.0,880,307,311,393,1148,322,676,264,279,55,4,12,19,23,15,45,9,2,15,28,5
14.0,739,285,311,366,1009,279,725,270,278,53,5,16,9,10,15,50,4,1,7,35,14
15.0,481,189,200,250,630,157,480,196,166,35,6,11,7,15,10,39,3,3,3,19,6
16.0,243,101,108,127,328,97,250,84,97,16,4,1,3,12,8,20,2,1,5,7,2
17.0,109,74,71,81,192,55,153,47,61,14,0,3,4,13,6,13,0,0,6,4,3
18.0,76,71,47,46,112,25,81,22,30,3,1,3,1,12,2,11,0,1,2,5,2
19.0,48,63,42,53,88,21,57,15,19,3,0,2,0,3,2,9,0,2,1,1,0
20.0,110,79,46,52,99,30,63,16,33,11,2,3,2,3,4,5,0,1,0,2,1
21.0,208,126,44,80,216,63,155,32,43,19,2,7,0,9,1,5,2,1,4,6,1
22.0,381,295,104,140,421,130,278,96,77,20,2,6,7,8,4,14,6,4,1,8,4
23.0,406,276,176,188,429,140,315,109,105,34,4,7,6,11,4,21,6,1,8,13,3
