hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,300,148,245,101,127,233,85,106,115,68,131,22,71,46,41,25,0,33,15,63,17,7,14,36,0
1.0,335,165,310,123,115,233,81,81,117,74,120,21,86,54,54,17,2,20,27,58,12,7,12,20,3
2.0,350,149,293,114,128,270,65,108,133,93,121,29,89,34,48,24,1,25,25,58,13,15,18,20,5
3.0,450,221,390,233,162,335,102,135,188,100,171,36,133,56,74,21,3,42,38,95,34,28,19,32,7
4.0,379,153,354,161,139,251,78,121,160,90,130,30,123,40,66,16,0,25,28,69,24,19,15,29,4
5.0,387,143,307,149,152,292,73,92,159,82,112,35,103,45,67,13,6,30,32,53,17,11,18,28,2
6.0,352,183,345,182,126,244,94,106,151,88,122,15,122,41,65,15,3,43,26,67,30,21,25,24,4
7.0,414,182,360,151,127,342,87,126,199,83,153,24,118,65,61,11,5,27,27,81,11,31,23,30,3
8.0,558,218,480,201,158,387,101,152,234,103,138,31,142,92,98,20,5,47,26,96,25,40,31,40,5
9.0,580,197,530,248,213,456,131,178,246,110,166,40,155,137,115,31,5,61,38,126,23,35,32,43,4
10.0,637,240,554,308,221,454,155,198,262,120,160,30,195,151,118,23,9,62,45,138,33,45,24,59,5
11.0,762,271,648,317,234,538,135,225,284,145,177,43,197,151,138,51,6,71,51,123,27,53,31,37,10
12.0,715,268,687,300,265,551,129,241,265,167,206,50,210,116,174,31,17,69,50,149,38,46,33,45,12
13.0,817,279,628,302,292,535,146,248,346,166,199,59,255,98,143,41,9,68,61,154,24,37,40,63,5
14.0,759,290,663,294,250,498,156,219,314,138,194,44,217,91,125,46,12,63,54,164,24,44,37,65,15
15.0,561,214,495,218,190,396,112,163,217,121,131,34,177,121,100,29,3,47,34,131,27,31,19,41,6
16.0,360,127,305,108,99,254,67,119,141,64,114,20,135,65,68,18,6,18,29,71,25,15,18,42,6
17.0,238,126,187,78,70,182,54,68,95,41,70,12,71,33,40,12,2,22,28,41,21,9,14,21,4
18.0,140,72,125,45,56,149,43,47,66,41,36,11,45,29,35,9,2,17,19,31,8,9,7,23,5
19.0,132,86,110,51,55,120,36,27,61,25,34,9,33,16,23,14,1,13,17,20,3,4,9,9,2
20.0,120,72,77,44,38,101,34,39,54,23,29,13,27,22,9,6,0,2,14,14,7,10,3,11,2
21.0,182,90,153,84,65,127,33,54,86,34,58,6,63,29,25,9,4,30,10,30,12,8,5,15,3
22.0,282,134,272,132,98,195,62,85,92,48,88,18,138,33,40,11,0,18,16,64,24,6,13,17,6
23.0,389,192,326,187,135,247,91,113,145,86,115,30,152,40,56,21,6,41,29,82,21,24,21,29,3
