hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,341,190,240,180,135,282,88,112,116,94,119,26,91,46,44,22,4,35,26,67,25,20,18,20,7
1.0,394,180,299,195,139,303,102,122,175,83,126,24,125,42,69,16,4,56,20,104,14,14,19,23,3
2.0,414,179,344,201,141,315,94,111,158,95,131,33,114,52,73,18,2,48,34,116,27,23,16,22,2
3.0,502,226,403,224,179,336,102,116,176,116,156,28,141,62,85,18,5,38,23,98,21,31,27,41,4
4.0,427,199,355,203,132,327,111,134,178,104,138,29,128,63,84,30,4,39,24,97,18,27,16,40,3
5.0,377,189,372,208,144,321,111,141,157,101,125,41,128,63,72,26,3,30,37,89,15,24,22,42,3
6.0,379,208,375,227,112,317,76,117,173,95,139,30,125,51,64,21,3,29,26,75,27,23,12,29,1
7.0,434,218,397,216,176,412,98,133,175,91,133,31,145,85,72,26,2,32,36,96,24,22,13,37,4
8.0,484,229,402,209,155,391,111,179,191,100,150,43,169,82,86,31,4,44,42,109,25,26,19,39,5
9.0,522,254,508,202,158,427,130,162,206,100,171,42,187,115,102,24,6,37,33,124,32,35,23,41,5
10.0,490,271,458,232,172,457,111,176,196,118,152,45,169,117,96,30,5,40,40,118,34,46,26,59,5
11.0,568,311,491,272,177,565,135,221,258,132,177,43,214,137,105,24,5,62,38,159,30,38,19,48,8
12.0,637,302,588,257,251,501,131,211,260,119,212,53,231,109,100,28,5,69,45,146,35,42,15,55,12
13.0,690,273,593,294,267,546,143,218,292,122,210,61,278,122,115,34,10,72,51,177,29,40,38,58,17
14.0,640,279,575,272,232,512,143,178,258,124,225,46,238,85,118,26,5,42,61,154,32,34,32,52,4
15.0,526,220,481,217,199,449,133,174,210,112,182,31,195,71,108,44,4,48,41,126,20,38,29,59,9
16.0,372,149,342,138,120,328,72,132,146,76,120,19,126,77,71,20,4,35,34,81,23,23,14,40,7
17.0,270,119,233,89,102,242,52,78,123,49,78,18,74,59,63,18,2,29,18,50,13,14,16,28,3
18.0,153,100,165,58,63,124,48,88,81,48,44,8,49,31,46,11,1,9,16,34,12,13,6,12,1
19.0,127,62,113,38,72,131,40,58,50,29,50,7,36,19,26,12,2,19,15,28,3,4,8,19,1
20.0,101,58,95,46,38,99,39,34,58,32,39,5,35,29,15,3,0,10,14,29,7,7,13,15,0
21.0,160,93,130,48,53,107,42,63,64,33,39,13,34,20,25,4,0,22,11,12,3,7,8,18,1
22.0,197,82,131,95,61,123,44,78,80,42,65,7,51,24,28,17,2,11,18,30,12,11,10,18,5
23.0,313,234,235,115,107,264,92,104,142,61,115,27,115,44,47,19,1,25,29,59,18,16,11,21,3
