hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,84,92,25,16,44,51,28,27,24,19,35,21,19,7,22,11,5,10,19,14,11,14,35,47,25,11,32,13,9,8,2,4,5,8,8
1.0,102,66,26,22,56,69,28,26,27,9,38,16,15,10,19,4,17,14,21,9,8,23,40,52,26,10,42,16,17,8,1,7,3,10,12
2.0,88,79,24,25,50,54,30,20,22,7,43,22,28,11,18,18,3,9,17,7,8,19,34,48,22,12,39,16,15,4,4,11,5,12,8
3.0,165,127,38,35,76,98,43,29,38,11,64,26,39,11,56,13,20,12,37,19,9,26,53,127,36,10,64,40,19,13,2,19,15,12,14
4.0,102,80,29,21,69,67,37,28,31,4,47,19,35,4,26,9,11,9,13,11,15,31,47,71,14,9,44,32,9,20,0,24,3,13,14
5.0,122,104,34,16,52,74,30,24,29,6,57,22,35,13,23,5,6,11,30,19,6,22,43,78,17,12,32,20,11,7,1,15,3,8,13
6.0,100,84,56,21,48,72,23,27,21,7,50,21,32,6,33,8,13,16,28,8,8,23,60,86,19,15,41,28,10,3,3,14,9,7,13
7.0,103,98,42,28,47,68,45,24,27,7,58,19,33,7,32,11,12,16,16,11,14,26,57,57,18,9,42,22,14,6,2,6,7,9,11
8.0,115,111,34,23,75,67,45,31,40,7,67,24,35,13,63,11,10,17,28,18,26,32,37,109,24,10,40,33,24,4,7,10,6,20,21
9.0,148,128,51,39,78,87,48,36,34,16,65,44,30,15,43,13,14,24,31,17,26,45,67,127,30,17,47,41,13,6,2,10,11,22,22
10.0,165,154,52,24,87,90,67,47,40,9,81,27,37,5,49,14,12,15,45,18,18,44,58,147,34,26,50,46,19,8,7,8,9,24,17
11.0,209,167,63,35,80,120,57,44,44,7,93,45,46,11,55,10,17,20,34,23,36,40,78,144,34,18,41,50,31,6,2,12,15,22,18
12.0,202,174,66,69,120,137,68,44,51,12,88,46,39,8,54,15,20,23,45,16,13,52,92,176,34,15,61,44,35,8,5,15,13,15,34
13.0,222,167,76,56,103,117,78,38,63,6,106,60,59,8,82,22,15,25,47,16,25,72,104,159,42,13,47,48,39,5,6,11,10,17,30
14.0,204,165,63,63,86,107,82,42,56,8,95,59,39,22,62,16,16,29,40,30,21,75,101,172,32,20,58,52,30,5,10,10,15,26,21
15.0,162,159,50,68,66,85,46,27,51,3,71,37,23,11,45,18,12,15,37,27,20,41,77,132,30,9,23,42,18,8,2,9,18,14,24
16.0,94,95,35,44,52,51,37,20,28,3,47,14,16,6,32,5,9,13,29,15,7,30,59,75,17,9,21,14,10,5,2,3,6,5,16
17.0,70,55,27,17,24,39,16,12,15,1,26,10,12,5,14,8,4,6,4,9,5,21,21,39,11,7,9,14,9,2,3,5,7,8,10
18.0,40,29,31,13,24,18,13,6,9,4,13,10,10,7,6,6,10,4,8,10,5,11,17,25,5,9,4,9,7,2,0,5,0,8,3
19.0,36,31,6,9,18,18,6,5,5,2,12,6,4,1,9,2,5,3,4,4,6,8,20,18,9,3,3,3,2,2,1,2,2,7,4
20.0,28,21,15,6,20,16,10,5,9,0,15,4,5,3,5,3,2,3,4,4,6,8,14,23,9,2,4,8,4,2,0,4,1,3,5
21.0,43,46,20,8,27,23,10,5,16,4,20,2,19,4,7,6,5,2,2,3,6,9,19,18,7,4,4,18,5,1,1,2,3,4,5
22.0,52,67,35,10,33,39,15,18,13,17,34,12,13,9,25,2,11,8,17,8,10,19,38,56,13,13,24,16,7,5,1,5,10,8,6
23.0,106,82,33,23,63,43,24,21,21,24,43,11,34,17,53,10,6,9,22,15,12,25,38,72,32,25,21,29,18,5,4,5,8,10,19
