hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,94,78,35,67,45,32,36,29,29,143,11,11,4,5,6,13,13,1,5,1
1.0,99,74,30,77,36,40,37,22,26,107,11,15,10,6,7,5,13,4,3,3
2.0,104,76,36,85,39,22,32,35,20,92,8,17,9,6,5,10,15,6,9,2
3.0,135,109,57,120,52,39,58,46,45,184,10,17,17,6,15,13,27,2,6,2
4.0,129,86,65,83,36,33,34,33,30,140,11,20,11,5,8,16,17,2,4,0
5.0,121,54,57,78,28,38,47,44,20,113,9,14,11,6,4,11,21,4,7,4
6.0,99,60,39,78,29,32,43,19,29,114,8,13,2,0,7,14,15,0,3,0
7.0,109,91,66,80,40,24,43,38,27,149,11,17,6,5,12,8,27,3,3,4
8.0,135,84,31,83,56,51,54,46,41,203,18,15,16,6,11,14,26,5,4,3
9.0,170,98,51,121,65,45,68,52,54,226,18,32,27,4,4,5,36,0,4,2
10.0,202,118,53,121,79,41,60,52,59,261,14,20,26,10,13,15,31,3,2,3
11.0,233,116,54,154,66,56,70,63,60,286,14,26,15,6,17,18,31,5,8,5
12.0,197,157,53,198,91,46,77,64,53,273,28,26,14,6,20,17,33,4,11,10
13.0,222,141,52,205,104,62,88,67,62,281,13,24,30,7,21,23,45,2,9,6
14.0,180,136,37,206,115,66,88,56,56,384,14,32,17,9,19,26,33,0,5,6
15.0,161,118,59,141,100,35,83,61,53,300,11,20,8,7,15,12,22,4,3,3
16.0,96,64,13,92,36,23,54,35,21,132,6,15,13,2,14,7,18,3,1,6
17.0,103,41,23,44,19,17,30,16,23,89,4,10,2,1,6,11,7,0,1,1
18.0,47,20,14,32,11,9,17,13,9,52,1,6,2,1,6,6,9,0,4,1
19.0,50,24,12,37,17,6,7,13,8,48,6,9,1,0,4,5,5,0,1,0
20.0,54,16,11,33,20,8,15,17,15,50,1,3,2,3,2,3,8,1,2,1
21.0,58,58,7,49,22,16,34,22,14,92,5,7,2,9,2,6,10,0,7,4
22.0,109,126,29,89,35,15,40,19,20,168,5,15,12,17,7,14,18,1,3,2
23.0,145,126,45,107,38,38,46,45,27,152,11,14,10,4,7,19,15,3,7,3
