hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,195,158,100,201,233,63,160,149,111,17,7,6,2,12,5,10,1,2,7,8,3
1.0,181,117,118,176,331,80,162,134,127,13,0,6,4,14,4,18,3,4,4,7,5
2.0,185,121,100,183,344,74,171,142,121,16,2,4,2,14,10,22,2,2,5,8,3
3.0,282,160,158,299,440,91,218,244,200,20,3,6,8,8,3,23,0,3,3,6,3
4.0,190,122,116,229,244,98,190,160,149,17,5,6,2,10,8,23,2,4,8,10,3
5.0,189,103,93,183,249,68,198,124,143,13,6,4,1,16,5,9,3,1,5,6,2
6.0,208,130,110,192,226,68,168,128,135,14,2,3,1,10,3,18,0,4,1,11,5
7.0,235,111,148,243,285,76,212,163,128,15,7,6,5,18,6,10,3,5,6,10,6
8.0,274,150,153,304,357,108,272,199,214,26,9,7,4,19,8,19,1,3,3,11,5
9.0,349,174,174,340,423,118,330,245,230,23,8,5,7,19,8,29,4,3,3,12,8
10.0,386,177,203,333,462,117,309,238,248,24,3,11,5,17,13,30,4,2,5,8,14
11.0,419,142,215,357,528,157,388,227,257,34,7,9,4,21,8,42,3,3,11,20,8
12.0,479,147,215,422,528,148,420,297,298,28,6,8,8,22,13,28,4,7,11,25,13
13.0,452,135,248,466,645,201,398,334,285,31,6,5,7,17,14,38,2,6,7,25,14
14.0,387,140,242,446,539,170,425,316,345,33,7,9,4,17,18,45,7,4,9,18,19
15.0,305,109,165,261,351,106,323,207,175,31,5,6,3,12,10,26,4,2,7,24,15
16.0,137,93,90,131,213,53,175,104,110,17,3,0,1,4,5,14,1,3,5,13,7
17.0,82,38,39,61,132,30,92,49,53,13,0,0,2,11,6,9,3,1,2,7,2
18.0,40,43,30,46,84,16,65,27,34,3,1,2,1,4,10,5,0,2,2,2,2
19.0,44,33,15,44,50,10,52,17,16,5,1,0,0,6,2,6,0,2,3,3,1
20.0,51,55,26,40,73,19,51,18,27,7,0,2,2,7,5,0,0,1,2,3,2
21.0,136,77,42,116,108,45,84,56,51,13,3,1,2,5,0,5,2,0,2,5,1
22.0,232,205,92,270,226,72,176,135,114,13,1,8,6,12,3,11,5,0,2,4,5
23.0,310,196,152,256,337,93,234,154,132,21,2,7,6,18,4,14,2,2,5,8,4
