hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,99,86,30,18,55,59,27,30,18,14,47,17,23,6,22,6,8,7,19,9,18,20,47,88,21,10,18,33,23,6,5,8,7,9,15
1.0,112,105,40,24,82,49,35,30,25,11,63,19,22,17,34,9,7,15,21,16,14,23,57,85,23,14,17,30,18,7,2,2,7,10,20
2.0,116,114,35,24,65,48,45,38,28,10,66,15,17,13,27,12,9,14,26,17,12,20,55,105,17,13,25,38,17,12,2,8,6,10,21
3.0,130,133,38,32,94,80,32,36,19,9,56,22,13,8,35,13,19,18,45,16,10,32,75,100,31,15,36,32,15,5,4,8,3,7,15
4.0,116,97,17,24,77,66,38,20,31,8,61,23,11,3,27,11,8,16,21,10,18,23,52,87,24,15,23,20,17,4,4,7,4,12,17
5.0,130,106,41,28,81,61,29,27,39,15,52,14,21,12,25,9,8,20,28,8,7,31,75,95,29,14,29,31,19,3,3,10,7,14,15
6.0,130,107,35,29,67,65,45,20,25,19,58,33,23,8,29,12,6,27,32,11,13,30,55,80,18,10,20,31,15,4,1,4,5,14,23
7.0,115,100,30,26,59,84,42,35,34,17,61,21,16,14,26,8,11,19,33,17,17,31,62,96,36,9,18,32,14,4,3,4,7,10,13
8.0,132,117,42,32,71,79,64,28,32,11,56,37,24,10,30,15,15,24,24,13,12,39,43,104,22,14,27,35,22,9,5,5,8,13,15
9.0,143,125,56,39,88,98,66,29,31,13,105,37,26,11,56,14,15,17,41,15,32,41,58,141,35,16,49,32,16,15,4,12,8,15,19
10.0,131,163,64,45,97,82,44,44,43,15,83,61,15,17,52,16,11,20,29,14,19,44,68,139,26,15,38,55,28,9,3,3,13,22,23
11.0,174,184,66,46,107,120,62,49,53,12,92,48,23,13,55,13,21,25,33,21,18,53,83,158,35,19,59,41,22,11,4,13,9,14,32
12.0,199,176,56,62,97,98,76,47,43,17,93,54,27,14,49,18,15,29,35,23,27,49,109,161,36,21,43,45,39,9,5,6,10,24,22
13.0,202,178,50,59,91,110,78,32,43,12,108,58,27,11,44,14,22,24,48,28,18,62,106,136,40,12,41,61,24,10,6,8,10,17,32
14.0,230,178,75,47,89,96,96,36,47,11,79,52,24,19,63,12,16,30,50,22,21,57,110,136,35,11,43,70,30,14,6,7,14,14,34
15.0,142,157,58,66,54,79,73,25,45,8,69,39,20,9,48,12,14,12,44,19,22,37,73,115,34,7,30,34,26,4,5,12,12,19,31
16.0,121,83,33,34,50,30,29,16,22,1,35,27,8,5,21,10,9,12,30,6,8,24,50,77,14,2,12,23,12,3,2,8,8,5,11
17.0,70,56,30,22,23,25,25,8,14,0,24,14,9,9,20,7,4,8,17,9,4,18,41,36,16,9,9,7,5,5,2,2,5,6,12
18.0,36,22,12,5,13,20,23,6,10,0,13,8,8,5,3,2,4,3,5,5,3,15,26,18,5,2,2,16,5,3,0,3,0,5,4
19.0,34,17,8,8,18,13,15,2,5,0,12,5,5,2,4,1,6,3,8,6,2,5,18,18,9,1,4,4,3,6,0,1,3,2,1
20.0,30,26,7,6,8,12,13,8,3,1,10,0,4,5,5,3,0,4,3,3,2,10,15,14,3,2,4,9,4,2,2,1,3,3,7
21.0,40,32,21,10,23,14,18,12,7,1,14,7,6,5,6,3,2,2,7,8,3,8,20,28,7,5,8,4,7,4,1,3,0,3,3
22.0,52,65,11,17,36,29,30,21,13,8,28,13,11,5,25,10,6,9,10,6,7,17,24,43,14,5,17,9,14,7,3,0,3,5,10
23.0,108,79,29,15,45,54,40,37,24,14,53,9,24,9,39,10,13,10,15,10,15,23,40,58,18,8,30,28,19,22,1,2,6,9,14
