hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,102,78,27,30,60,51,29,29,30,25,57,7,19,5,74,11,8,10,17,18,13,23,26,39,23,12,35,25,11,4,4,5,8,11,13
1.0,95,79,27,23,57,50,17,21,24,4,50,11,30,12,25,10,7,8,20,12,20,18,39,46,16,14,43,21,14,7,2,4,8,7,9
2.0,94,60,36,17,79,64,34,18,30,6,41,14,19,11,27,5,7,12,21,13,17,17,61,71,15,11,44,19,13,5,3,3,5,6,16
3.0,144,92,47,35,77,93,32,45,34,10,80,21,42,10,39,9,12,15,37,18,21,40,60,99,33,15,68,26,21,14,3,4,5,10,21
4.0,93,94,35,29,67,82,35,24,29,12,49,14,30,2,36,15,7,12,13,10,11,30,61,83,24,16,55,23,9,5,5,2,12,12,20
5.0,108,92,24,26,75,75,29,30,19,12,45,16,25,13,23,10,13,13,23,9,10,24,40,85,22,9,49,22,7,7,4,6,2,11,11
6.0,112,89,31,25,59,85,33,27,36,3,55,16,18,11,25,10,6,10,23,10,14,30,37,73,28,10,44,23,12,6,2,10,7,6,11
7.0,103,99,32,30,53,80,30,28,23,2,50,28,21,5,23,12,11,10,21,7,8,26,47,75,21,17,36,25,19,2,1,4,14,6,15
8.0,123,92,39,31,62,67,27,29,26,6,65,35,29,7,35,11,15,21,18,11,15,25,54,124,24,10,47,29,23,5,1,5,6,22,26
9.0,161,128,50,31,70,82,64,25,36,8,71,43,39,11,49,14,10,18,37,18,13,57,59,150,25,9,40,35,23,7,2,8,11,18,26
10.0,152,182,61,40,87,82,46,36,49,11,77,28,19,9,47,17,12,22,35,14,18,35,100,148,45,14,40,37,21,7,1,11,13,32,20
11.0,191,175,57,45,99,113,64,36,47,11,77,40,23,23,57,13,27,19,34,18,24,50,66,161,36,7,44,42,32,9,5,9,11,24,26
12.0,202,174,75,56,82,114,62,44,47,8,96,52,36,11,47,13,26,23,27,20,25,81,96,201,30,9,60,45,30,7,7,18,11,25,33
13.0,212,178,73,61,106,160,65,40,55,12,133,52,30,18,70,15,13,18,42,24,14,53,119,232,28,18,58,64,27,2,4,3,16,21,28
14.0,206,176,76,50,98,124,82,42,63,7,126,56,42,12,63,9,19,21,46,28,21,67,93,169,30,19,35,57,20,9,7,14,16,5,25
15.0,144,127,55,71,69,82,62,26,31,10,89,63,36,12,36,10,20,19,38,17,10,30,72,135,24,11,27,47,22,8,5,6,10,17,26
16.0,102,78,29,30,45,40,34,24,20,1,36,25,17,10,20,10,9,17,23,9,6,20,49,80,11,6,30,24,16,6,2,3,6,5,7
17.0,70,49,14,20,37,25,22,13,15,2,39,5,14,6,19,2,5,6,9,13,7,21,37,52,12,5,14,16,8,5,0,1,3,4,13
18.0,40,26,14,8,13,24,13,7,9,0,22,7,6,0,10,2,3,4,3,4,5,12,13,28,7,5,5,6,1,2,3,1,2,4,9
19.0,38,22,9,7,16,13,9,7,11,1,14,5,5,1,8,2,8,4,7,3,3,18,16,24,5,4,6,6,4,7,2,0,3,5,5
20.0,32,25,10,14,10,16,7,3,7,1,15,3,8,3,5,3,2,1,4,3,5,10,19,22,3,2,2,6,3,0,0,4,5,5,6
21.0,46,36,22,8,32,17,19,7,16,0,25,1,12,4,17,5,2,2,6,13,10,19,14,33,6,9,8,11,7,8,1,5,5,4,3
22.0,67,69,33,24,42,37,29,17,22,5,35,17,25,14,18,4,6,7,18,11,6,23,33,44,27,8,16,19,6,3,2,3,7,11,4
23.0,99,88,43,17,95,44,29,19,32,8,53,12,27,11,24,12,10,14,17,10,20,23,32,53,20,10,30,27,11,7,0,2,7,9,9
