hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,376,156,266,137,114,200,84,114,133,64,120,20,120,43,39,14,4,34,21,59,14,14,16,18,3
1.0,361,157,305,125,120,212,66,89,146,74,97,29,115,43,40,26,4,36,28,61,23,10,21,23,3
2.0,406,153,299,147,116,265,93,92,151,92,115,24,91,49,42,20,0,25,23,69,19,15,15,29,6
3.0,517,261,388,262,168,350,96,162,197,108,143,27,151,86,70,33,4,53,41,113,37,19,24,37,9
4.0,433,174,336,173,126,254,83,114,154,81,109,19,109,42,55,16,1,34,30,60,23,20,20,41,3
5.0,389,190,297,160,106,247,96,111,152,73,107,31,100,57,67,14,4,30,23,60,13,22,26,20,8
6.0,420,151,335,152,124,254,64,111,146,88,102,24,112,55,55,19,2,29,22,76,17,28,27,20,3
7.0,470,171,413,176,129,357,93,143,171,75,116,21,127,75,81,25,4,32,29,87,20,28,19,31,5
8.0,543,182,450,231,166,404,97,169,181,106,140,48,126,170,88,20,4,45,53,99,27,37,20,44,9
9.0,577,232,549,242,188,494,132,218,259,95,180,35,189,226,104,29,6,61,57,126,33,43,30,44,12
10.0,667,267,544,283,283,450,138,195,256,130,158,41,178,190,110,24,6,44,52,115,33,47,23,41,6
11.0,719,293,670,321,274,528,177,245,273,161,210,62,218,170,126,28,11,67,52,144,37,48,33,49,9
12.0,716,278,654,317,249,554,172,252,297,167,173,46,262,176,137,42,13,75,55,156,40,52,34,59,11
13.0,745,328,708,319,251,520,147,223,320,142,202,46,281,149,120,36,8,72,41,159,28,45,35,49,8
14.0,741,265,637,306,250,501,156,263,312,141,193,33,238,138,121,52,3,69,45,137,32,38,38,54,15
15.0,522,247,517,209,216,428,110,199,228,102,146,35,192,111,127,35,5,36,42,140,22,39,27,74,10
16.0,331,126,290,135,129,269,66,105,119,65,91,17,100,55,68,22,2,28,37,79,16,18,14,33,3
17.0,223,104,193,75,91,168,51,90,101,57,60,11,63,36,46,17,2,19,24,49,8,10,11,20,1
18.0,136,63,148,48,74,114,27,48,57,37,24,8,32,25,28,8,1,12,18,22,4,5,9,20,3
19.0,129,72,103,34,51,122,35,46,58,23,30,7,24,34,19,4,0,11,19,19,6,8,7,15,0
20.0,119,54,101,47,36,104,36,31,48,25,24,9,37,23,22,6,1,14,7,12,7,9,9,9,1
21.0,186,102,138,67,64,123,56,55,58,31,60,13,46,36,24,2,1,18,20,20,8,7,14,17,1
22.0,253,147,205,124,108,190,77,92,104,56,82,20,76,52,35,13,0,28,22,58,14,11,10,20,3
23.0,413,193,348,161,145,264,83,122,150,78,130,33,108,76,63,21,3,36,24,72,28,15,19,24,5
