hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,288,85,116,280,285,81,208,129,138,16,4,5,0,12,7,15,0,2,6,8,5
1.0,252,106,136,322,315,103,195,137,212,20,1,6,1,27,5,13,1,5,5,6,11
2.0,263,97,126,316,294,84,211,170,151,18,4,9,7,17,12,22,1,2,5,11,12
3.0,265,88,135,322,355,92,203,139,170,34,2,10,10,17,9,15,7,1,12,7,13
4.0,233,97,179,328,318,85,231,132,147,19,1,8,7,20,4,17,1,2,2,8,5
5.0,249,94,153,315,307,64,188,131,163,19,6,1,4,22,2,12,2,5,4,9,8
6.0,243,78,139,283,321,105,215,130,135,23,3,5,6,22,7,15,0,1,6,11,9
7.0,262,77,134,334,331,83,238,170,176,24,2,4,3,25,9,11,2,3,3,9,6
8.0,276,99,159,350,345,111,266,210,217,16,2,5,8,27,11,25,4,4,6,12,20
9.0,386,97,162,367,388,119,271,231,223,20,2,12,4,21,8,32,4,2,5,11,12
10.0,367,103,196,370,468,130,392,215,214,24,7,13,5,14,14,31,3,4,5,17,6
11.0,471,111,193,471,578,167,434,256,241,29,9,12,5,18,10,31,2,7,2,32,8
12.0,491,126,187,522,589,145,409,269,262,29,5,10,3,18,11,38,0,3,6,22,12
13.0,443,122,213,452,584,169,435,297,273,29,6,9,3,16,11,34,3,11,5,23,8
14.0,353,82,228,470,570,160,397,272,291,33,3,7,9,20,16,38,3,5,11,18,11
15.0,275,93,152,291,353,106,336,182,202,18,2,7,7,20,6,32,1,4,8,21,9
16.0,145,43,98,161,230,43,171,101,94,20,1,3,4,9,5,16,0,1,4,19,2
17.0,86,34,57,75,116,36,101,36,52,6,0,1,1,9,4,12,1,1,2,11,3
18.0,54,26,30,42,76,18,73,28,29,6,1,1,3,6,1,4,1,0,5,4,2
19.0,48,17,24,48,59,16,45,15,27,6,2,0,2,12,3,6,1,0,2,2,0
20.0,70,28,31,49,68,23,43,17,26,8,2,3,1,9,4,5,1,0,1,2,1
21.0,109,69,43,140,120,27,73,43,41,9,3,3,1,9,1,10,1,1,3,4,5
22.0,219,119,107,227,218,69,126,105,87,12,4,8,2,12,3,7,2,2,1,6,9
23.0,262,154,126,279,325,88,188,206,150,29,6,13,5,21,5,11,1,4,5,11,3
