hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,127,128,92,94,37,40,43,42,24,133,8,23,13,6,8,14,43,3,7,3
1.0,150,145,65,114,73,45,53,50,36,156,13,12,13,7,11,18,29,2,7,5
2.0,145,138,59,103,72,47,41,40,40,163,12,19,15,9,9,12,46,6,6,4
3.0,178,134,71,140,87,59,48,54,45,237,13,22,12,13,8,11,67,2,3,2
4.0,169,119,61,127,74,55,52,41,45,167,10,15,9,6,14,22,40,0,4,4
5.0,141,98,59,116,54,61,38,47,36,219,16,22,9,4,16,16,29,0,10,5
6.0,129,88,46,93,57,62,43,50,23,155,6,11,8,4,9,8,40,8,4,4
7.0,125,107,48,106,63,50,50,53,33,185,12,22,9,7,10,15,42,0,7,4
8.0,151,125,55,106,64,49,49,47,43,226,18,25,12,3,14,5,32,1,4,4
9.0,166,149,51,129,86,70,72,48,45,261,22,12,11,9,14,17,41,2,10,4
10.0,180,150,53,130,84,67,54,46,46,282,30,14,9,14,13,15,47,3,8,3
11.0,189,161,71,146,87,84,84,60,57,316,14,24,13,10,13,21,43,3,9,5
12.0,190,181,61,203,125,70,89,51,70,279,33,22,19,17,22,18,32,6,14,10
13.0,228,176,104,205,127,65,92,72,80,286,30,27,22,8,23,18,42,3,5,5
14.0,206,158,73,232,113,67,96,54,66,296,28,21,16,13,25,15,56,3,11,4
