hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,59,423,47,42,9,71,25,17,59,24,107,30,6,45,15,16,14,20,6,2,2,2
1.0,70,534,64,46,13,94,23,13,57,36,94,24,13,45,24,18,17,16,5,2,0,2
2.0,51,555,84,43,14,98,30,13,70,31,126,32,7,53,16,17,16,21,6,2,2,1
3.0,72,680,93,50,16,86,19,20,83,40,140,25,11,56,31,13,22,21,7,1,1,4
4.0,78,617,97,50,15,91,32,11,88,26,111,21,11,49,31,14,20,16,5,1,1,1
5.0,53,537,110,30,23,85,23,7,82,30,112,28,8,42,21,24,15,23,2,2,2,2
6.0,75,587,128,38,18,76,41,19,101,32,137,30,13,40,18,16,19,18,8,2,2,1
7.0,68,624,153,63,34,93,41,19,83,46,127,25,11,46,31,26,14,21,7,2,1,2
8.0,91,586,199,69,55,107,39,27,87,43,120,35,21,46,15,21,20,18,11,8,3,4
9.0,83,621,209,79,44,115,61,30,100,34,146,32,22,53,26,26,27,30,6,5,4,8
10.0,89,653,208,70,36,106,51,24,103,43,138,29,20,49,40,33,21,26,3,3,2,4
11.0,104,577,225,59,46,113,64,20,95,61,145,44,27,63,31,32,14,21,9,2,3,5
12.0,100,652,221,83,48,120,62,22,76,60,152,31,37,41,35,31,24,31,10,9,4,6
13.0,113,733,253,83,49,142,69,19,91,59,152,40,21,52,30,40,19,38,13,7,2,3
14.0,96,667,212,83,43,137,74,9,101,46,138,32,28,53,49,50,17,33,3,5,3,2
15.0,66,544,211,71,40,99,51,19,81,44,115,27,12,37,35,33,13,24,7,5,3,1
16.0,40,427,119,27,14,80,25,10,57,31,82,21,7,24,13,18,9,20,4,2,2,3
17.0,28,279,72,14,11,53,12,5,49,14,58,18,7,22,10,12,6,6,2,0,2,1
18.0,15,188,45,17,9,40,15,4,34,10,34,5,2,13,3,9,6,4,1,0,1,0
19.0,12,145,32,9,5,42,8,3,16,9,27,6,2,11,8,1,3,3,3,0,0,0
20.0,9,138,32,10,4,19,9,5,15,16,26,8,5,9,7,2,4,4,0,1,1,0
21.0,16,155,37,14,6,35,16,8,20,20,38,11,3,14,9,9,4,3,0,3,2,1
22.0,26,299,35,26,11,49,16,8,29,14,63,14,2,39,7,8,9,3,0,1,0,4
23.0,63,353,54,30,10,83,18,17,45,23,95,17,10,29,13,11,11,14,3,1,1,1
