hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,103,88,19,90,36,34,41,25,28,111,6,21,6,12,9,14,15,0,4,3
1.0,98,103,23,64,33,24,29,31,33,101,11,10,11,4,4,9,20,1,6,3
2.0,111,64,28,78,51,21,22,27,30,96,12,13,14,9,5,16,20,0,2,2
3.0,125,103,41,143,59,65,42,43,45,145,23,25,7,6,13,23,28,3,9,7
4.0,111,93,38,79,44,36,30,29,38,94,16,20,12,3,4,13,19,1,9,1
5.0,110,60,26,77,39,30,33,36,47,112,9,10,11,3,6,20,19,3,3,3
6.0,90,73,25,70,42,35,36,27,29,131,6,19,9,4,12,5,17,2,8,1
7.0,106,91,20,90,48,24,32,39,43,153,10,12,11,6,10,16,17,2,10,5
8.0,127,92,33,113,43,35,46,54,55,273,19,15,12,4,9,16,18,1,6,4
9.0,160,116,43,134,53,36,55,40,46,238,17,18,15,6,12,17,24,3,12,5
10.0,149,123,42,154,93,60,53,50,64,240,17,17,20,4,16,9,28,2,5,2
11.0,170,141,42,185,96,59,67,61,66,273,21,15,16,10,23,14,28,4,12,6
12.0,178,142,61,172,113,62,94,47,84,283,24,16,15,9,13,19,27,7,7,5
13.0,198,149,62,187,120,51,92,58,92,275,26,28,15,18,22,32,34,4,11,3
14.0,171,138,53,196,113,52,96,51,84,243,24,11,26,10,12,11,35,5,9,5
15.0,139,106,46,132,93,47,63,52,47,189,10,19,7,5,18,23,26,5,10,5
16.0,81,41,21,86,45,24,26,23,37,123,13,14,9,6,11,5,15,1,0,0
17.0,95,23,14,51,35,16,34,18,21,74,4,8,6,3,7,7,6,1,3,4
18.0,46,18,12,34,23,17,15,12,27,50,3,4,2,0,7,6,5,1,5,2
19.0,36,13,9,25,20,15,14,8,12,47,3,4,3,2,1,5,4,1,2,2
20.0,47,30,12,35,20,10,14,13,9,39,3,5,4,4,4,6,7,0,2,1
21.0,57,60,15,49,23,17,26,21,12,82,7,8,6,15,5,7,7,1,6,4
22.0,74,151,15,100,33,28,42,25,17,156,9,18,8,13,13,11,17,2,12,3
23.0,117,129,38,101,45,33,46,38,43,154,15,14,13,14,6,13,18,2,8,1
