hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,45,380,48,34,14,86,18,16,74,28,97,29,3,32,14,20,16,12,3,1,1,2
1.0,77,434,60,46,16,97,21,13,57,39,119,30,10,35,20,26,17,15,5,1,2,0
2.0,155,482,63,45,11,81,16,16,65,33,100,22,6,36,15,18,6,21,1,3,2,1
3.0,160,577,87,55,14,84,30,12,76,41,127,25,4,57,22,17,13,21,3,0,2,3
4.0,94,522,94,51,9,103,34,13,85,25,126,26,12,36,29,15,18,17,7,1,0,2
5.0,94,509,120,42,19,86,22,13,62,29,97,19,11,53,22,21,12,18,3,3,0,2
6.0,109,542,116,38,17,71,37,13,60,29,97,22,13,48,20,23,18,23,4,2,1,1
7.0,87,565,183,61,34,82,42,17,78,32,133,25,17,38,25,22,14,23,6,0,1,3
8.0,96,637,218,62,36,89,38,25,86,40,136,29,17,46,23,25,15,30,2,0,1,2
9.0,96,718,235,92,38,106,57,33,100,51,159,30,26,49,29,30,22,31,3,5,2,4
10.0,86,673,203,75,54,109,54,17,98,44,159,22,13,53,21,28,28,22,5,7,2,5
11.0,106,735,192,74,56,119,69,24,87,51,150,28,24,49,36,30,22,30,6,11,1,0
12.0,129,824,228,94,65,130,79,24,117,53,185,35,20,57,39,34,29,40,11,6,4,3
13.0,123,796,254,85,41,115,94,20,96,73,145,26,34,51,36,39,24,28,8,9,2,6
14.0,101,850,218,80,39,123,58,15,108,61,193,36,21,63,37,22,23,29,4,4,3,3
15.0,61,580,145,50,29,80,41,12,85,50,111,19,17,33,18,22,11,32,6,4,0,1
16.0,36,406,90,36,21,57,25,4,52,28,71,13,8,22,16,9,15,17,2,1,1,2
17.0,19,240,55,15,9,52,13,5,41,18,40,8,11,18,15,4,6,8,0,0,1,1
18.0,16,155,36,5,5,41,13,3,17,12,36,13,5,17,7,7,4,4,0,1,1,0
19.0,14,135,27,10,2,38,6,6,16,12,20,5,0,11,8,3,0,2,1,0,0,0
20.0,13,114,27,5,7,40,4,4,11,2,31,4,1,10,7,1,4,2,0,1,1,0
21.0,30,265,36,16,10,26,9,8,25,15,77,9,4,37,9,6,5,4,1,3,1,1
22.0,42,717,54,36,15,52,17,11,57,19,165,15,6,53,11,10,16,15,3,2,0,0
23.0,61,601,44,31,6,61,26,9,67,39,168,23,6,69,17,16,11,9,3,3,4,2
