hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,283,184,163,207,309,89,216,189,155,27,3,5,7,10,5,10,1,2,4,6,6
1.0,243,211,151,237,260,89,236,182,147,22,3,4,4,16,2,16,2,2,3,13,7
2.0,286,209,155,236,277,97,234,192,183,24,4,8,1,20,9,11,4,1,5,7,4
3.0,469,349,245,332,501,169,322,328,329,38,3,17,4,13,7,18,5,3,9,23,6
4.0,338,206,206,252,398,111,251,235,186,21,3,14,2,14,9,23,3,2,6,13,5
5.0,348,178,192,227,416,119,256,206,223,28,6,6,7,16,7,26,6,1,8,12,7
6.0,334,207,158,222,387,138,275,207,172,16,3,6,3,14,7,29,4,3,6,10,4
7.0,353,189,197,275,419,118,309,225,205,26,4,11,5,16,4,19,5,5,6,6,6
8.0,438,222,228,347,512,150,355,285,244,21,6,7,4,17,2,32,5,1,4,10,10
9.0,523,229,237,385,641,189,390,284,304,33,9,10,7,14,5,30,7,1,7,20,14
10.0,548,235,181,335,602,220,442,233,237,31,6,12,9,14,8,27,3,3,3,24,8
11.0,582,212,231,339,689,225,483,277,261,37,2,7,6,12,10,31,5,1,11,20,14
12.0,554,217,220,370,724,243,508,233,275,41,5,14,5,16,9,45,4,3,13,13,14
13.0,548,175,204,374,721,252,498,257,231,30,1,12,16,14,15,40,4,5,4,17,6
14.0,500,178,211,372,742,223,459,250,239,36,7,5,11,18,10,54,3,4,4,19,8
15.0,371,159,165,303,486,149,378,179,177,30,1,2,10,15,9,26,5,3,12,17,6
16.0,202,105,101,183,298,95,219,128,117,15,2,5,3,8,9,22,3,3,6,10,10
17.0,115,83,61,100,180,48,143,67,73,8,2,2,2,6,3,10,0,1,4,11,0
18.0,82,53,45,57,110,19,57,36,34,4,1,2,3,10,6,13,1,1,3,8,1
19.0,53,45,38,47,82,19,50,19,23,7,1,1,0,11,2,3,1,0,2,4,2
20.0,76,58,29,38,96,23,63,23,30,3,2,2,1,10,1,6,1,1,0,3,1
21.0,153,99,37,90,156,48,90,46,41,15,1,2,3,9,2,1,1,1,2,5,1
22.0,246,151,48,169,219,58,150,72,63,16,2,4,2,8,7,9,1,2,9,8,3
23.0,330,210,102,247,338,124,215,121,116,14,0,4,4,21,4,26,1,3,3,8,7
