hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,252,180,92,186,257,97,188,135,113,12,3,6,5,10,4,13,1,4,6,11,4
1.0,242,174,117,185,261,92,199,104,107,20,1,5,5,11,3,15,6,5,5,10,7
2.0,295,195,91,168,329,107,227,119,104,20,3,4,3,20,7,19,2,3,3,5,5
3.0,488,257,154,274,600,167,374,209,238,23,2,11,7,20,4,28,1,5,8,13,10
4.0,322,187,124,241,396,133,273,128,148,16,4,3,6,15,9,12,2,1,9,12,2
5.0,284,159,124,191,318,105,243,130,124,27,4,6,4,16,6,17,1,1,7,6,4
6.0,285,165,143,207,346,104,229,123,136,16,2,10,11,6,5,18,2,4,5,5,6
7.0,306,148,166,236,412,128,248,126,133,34,4,15,3,25,7,16,3,4,4,14,17
8.0,394,210,162,295,442,148,296,194,194,25,5,3,8,11,4,22,3,6,6,16,7
9.0,419,247,219,320,594,162,400,219,251,35,1,12,12,22,9,29,5,1,7,20,8
10.0,518,220,235,327,634,165,425,247,234,23,2,11,5,17,10,40,3,5,5,12,12
11.0,570,260,266,405,677,204,457,301,318,34,2,9,3,18,10,30,5,5,12,22,12
12.0,609,318,289,413,838,238,489,299,326,31,5,9,11,17,13,41,2,4,10,31,7
13.0,617,269,287,454,782,226,531,356,424,29,4,9,10,18,12,47,4,6,6,29,7
14.0,564,243,277,391,694,212,574,324,343,27,5,11,11,17,16,32,4,5,10,19,2
15.0,321,119,179,318,474,112,358,220,232,24,3,7,5,13,10,30,3,4,5,16,13
16.0,173,81,116,179,251,58,219,101,126,24,0,7,5,8,10,19,0,7,4,12,0
17.0,103,43,53,92,144,30,115,54,71,12,3,2,5,8,5,9,2,1,2,11,1
18.0,72,57,31,61,99,18,62,52,37,5,2,0,2,4,3,11,0,0,1,4,1
19.0,49,51,42,58,79,14,55,46,28,1,1,4,1,8,3,7,0,2,2,3,0
20.0,91,56,35,60,84,18,77,32,27,7,1,2,1,8,2,3,0,0,2,3,3
21.0,166,162,83,101,162,54,101,79,59,7,3,5,2,4,6,7,1,0,6,11,3
22.0,373,280,155,219,319,94,177,197,141,17,3,3,6,8,4,11,2,3,4,13,6
23.0,375,298,203,252,321,106,270,255,187,19,4,10,6,19,6,9,6,3,12,13,2
