hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,327,140,96,206,262,94,182,138,118,12,2,3,3,10,7,11,2,3,6,12,3
1.0,266,131,92,209,293,85,185,132,125,14,1,6,3,11,9,16,4,2,6,7,4
2.0,265,132,96,189,274,87,201,119,125,18,2,10,2,14,8,12,1,1,5,15,3
3.0,529,216,173,279,636,142,299,241,254,27,4,4,4,21,9,34,4,3,8,13,5
4.0,461,146,146,239,641,107,205,139,186,20,2,5,3,11,4,35,5,2,4,12,4
5.0,334,112,126,214,437,107,210,136,202,18,2,5,4,9,7,21,2,2,5,10,4
6.0,427,148,135,188,463,70,208,184,174,19,4,4,3,17,2,28,1,1,2,14,4
7.0,473,119,137,232,649,105,269,194,185,24,6,5,6,14,6,41,3,2,3,8,9
8.0,631,140,180,322,717,134,300,270,264,25,6,5,4,17,11,37,2,6,7,22,9
9.0,624,175,219,322,747,160,344,279,292,27,5,10,8,23,9,37,3,4,4,19,10
10.0,686,168,198,315,715,182,395,276,320,32,3,4,7,12,10,42,2,2,9,27,9
11.0,637,169,224,347,760,199,474,273,267,37,4,12,6,17,13,41,1,1,3,16,11
12.0,617,222,209,378,784,195,440,294,278,32,3,8,7,27,14,40,5,2,7,22,10
13.0,661,222,220,409,812,211,482,257,265,46,11,11,6,15,17,46,1,8,11,29,13
14.0,546,170,238,404,686,221,505,279,282,34,5,11,10,12,14,44,3,7,9,25,11
15.0,389,147,190,313,474,132,359,202,202,20,2,8,2,12,8,29,5,8,2,17,10
16.0,173,77,91,136,282,56,195,88,97,18,1,6,5,7,10,25,0,3,5,12,3
17.0,111,59,61,91,156,27,118,58,47,8,2,3,1,6,6,10,0,2,2,5,1
18.0,74,54,40,41,117,26,76,24,42,11,0,1,0,4,3,4,0,0,2,3,2
19.0,58,36,29,40,82,16,64,25,24,6,0,2,1,11,3,2,1,2,4,3,4
20.0,88,75,40,37,70,15,55,26,23,8,1,2,2,8,4,4,1,0,1,1,1
21.0,135,88,40,70,156,44,117,28,35,11,5,1,3,6,5,9,1,0,1,5,3
22.0,302,190,77,151,274,102,179,113,97,11,6,3,3,8,5,15,0,1,5,8,1
23.0,319,200,107,213,346,112,245,140,98,19,5,5,2,13,5,18,5,2,6,20,3
