hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,56,440,62,38,11,76,26,9,39,23,105,25,7,36,9,10,14,16,2,3,1,2
1.0,63,480,73,41,22,79,30,13,52,28,112,25,10,46,20,21,14,10,3,2,0,0
2.0,60,459,88,37,23,79,35,18,53,36,106,29,11,41,22,20,15,9,3,2,1,3
3.0,65,621,100,66,16,93,35,19,83,41,123,38,7,45,22,22,19,12,3,1,0,4
4.0,60,553,104,54,14,92,29,11,72,38,118,23,9,39,15,16,12,17,5,5,1,3
5.0,56,565,134,65,19,83,36,14,78,40,123,39,11,42,29,19,26,19,6,1,0,2
6.0,60,577,125,60,17,84,56,18,74,33,119,25,7,40,25,18,13,22,2,3,2,1
7.0,66,599,170,72,33,91,42,19,75,39,120,37,6,47,31,19,22,16,5,4,3,2
8.0,91,662,214,66,43,125,68,19,80,48,131,29,13,51,33,20,23,25,10,3,2,1
9.0,99,709,231,76,55,107,56,24,91,55,165,22,20,61,24,29,27,28,6,5,3,0
10.0,84,697,177,80,44,110,59,22,106,52,155,22,25,61,29,23,22,24,6,4,5,3
11.0,104,735,222,116,66,114,52,26,95,54,174,32,27,59,40,24,23,31,13,5,3,4
12.0,117,762,247,104,46,115,89,31,130,57,175,34,30,65,35,33,34,39,10,7,2,1
13.0,126,817,265,113,58,159,86,30,127,60,175,55,30,52,36,38,35,50,17,5,2,7
14.0,110,806,258,87,47,128,68,22,111,65,154,39,25,78,40,30,24,36,5,3,2,2
15.0,83,690,197,60,38,94,49,12,71,44,138,24,20,40,21,20,15,27,4,1,4,4
16.0,44,431,95,28,23,56,20,7,56,34,92,18,8,26,16,12,15,18,4,3,0,2
17.0,33,300,70,17,13,47,6,1,37,16,42,10,5,13,5,10,7,11,2,3,0,0
18.0,14,170,47,8,10,34,10,6,21,10,32,11,3,14,2,3,6,2,3,0,0,1
19.0,7,145,25,11,4,27,5,4,17,17,26,5,1,7,3,2,2,5,2,0,0,0
20.0,17,138,31,13,8,27,7,7,15,6,43,9,3,19,6,3,5,8,1,3,1,0
21.0,26,421,36,17,9,34,8,7,20,12,131,8,5,46,20,11,10,6,4,3,0,0
22.0,47,887,58,36,17,56,25,9,58,30,253,15,1,92,11,19,14,21,6,3,3,6
23.0,71,709,61,48,13,106,28,16,67,40,205,25,13,74,16,23,17,9,2,0,1,2
