hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,36,390,65,32,11,71,27,12,53,29,99,23,7,42,10,10,15,13,1,1,2,3
1.0,41,378,54,32,7,86,21,17,52,27,85,30,9,35,14,19,11,11,5,2,1,0
2.0,40,401,59,30,9,74,19,9,59,31,85,26,10,34,15,16,15,10,1,1,0,1
3.0,52,590,86,51,16,135,31,13,87,40,145,33,10,53,24,27,21,29,7,2,1,2
4.0,52,422,106,36,12,104,21,11,65,25,117,31,5,43,14,25,13,19,5,1,4,3
5.0,49,442,94,37,21,87,22,8,60,33,88,26,6,30,16,16,17,19,3,0,2,1
6.0,49,454,130,46,18,80,28,10,56,34,109,26,13,44,21,14,16,24,2,3,4,2
7.0,51,513,138,46,41,93,32,12,69,32,122,23,13,55,21,11,16,15,8,2,3,6
8.0,70,633,187,67,41,89,47,19,94,47,142,24,13,64,22,17,16,42,6,3,4,2
9.0,111,676,236,72,49,120,70,16,93,44,137,46,18,54,37,23,23,34,6,9,5,4
10.0,115,701,206,103,35,126,53,23,105,51,130,35,21,44,39,19,24,35,6,8,7,6
11.0,112,756,226,88,50,134,69,23,98,64,147,29,28,49,40,26,22,25,6,12,0,3
12.0,100,721,267,93,53,141,77,25,104,78,138,41,29,65,43,23,22,28,8,7,2,4
13.0,113,771,252,89,62,129,62,20,172,70,171,42,23,55,41,25,24,44,11,7,4,0
14.0,104,739,261,78,52,136,58,17,100,63,132,29,29,53,28,32,22,34,5,5,3,1
15.0,55,531,181,56,38,92,48,6,72,44,122,30,17,37,23,27,27,28,10,2,3,2
16.0,44,379,101,28,17,65,25,4,55,35,75,20,9,22,19,6,14,21,8,2,0,1
17.0,21,233,61,15,9,37,18,11,32,22,46,13,4,22,11,4,5,8,2,0,1,2
18.0,14,158,42,11,8,34,7,1,16,7,27,10,2,7,6,6,4,9,0,1,1,0
19.0,5,119,40,9,8,31,10,9,15,14,24,4,3,5,2,2,1,5,0,1,1,0
20.0,13,120,25,10,2,30,6,8,14,7,36,16,0,15,7,7,3,5,0,1,0,1
21.0,25,208,30,14,9,50,13,7,20,13,67,20,3,25,10,10,5,4,2,0,0,1
22.0,44,531,57,29,9,73,30,10,58,19,133,18,4,53,11,16,14,12,2,6,1,0
23.0,49,509,57,45,21,108,26,20,73,29,108,24,8,57,13,16,15,13,6,1,2,4
