hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,335,149,285,260,117,207,91,84,101,150,88,29,73,43,48,23,1,53,25,61,45,18,19,32,3
1.0,365,162,352,278,130,235,126,83,133,170,109,44,103,44,60,28,5,54,28,78,35,22,19,30,7
2.0,407,170,340,325,112,246,138,90,138,155,84,33,85,63,56,32,0,45,50,93,42,18,11,40,3
3.0,573,219,462,578,187,355,224,136,202,223,168,59,149,63,91,34,1,85,29,176,42,35,30,55,13
4.0,428,164,350,452,134,255,157,110,174,193,110,39,124,52,80,30,2,52,26,134,32,18,23,43,9
5.0,395,179,373,483,119,274,142,124,180,219,100,46,109,50,61,24,0,66,28,143,27,21,21,47,9
6.0,412,190,388,542,113,249,119,107,164,227,103,66,138,54,62,41,3,53,18,163,33,19,16,43,9
7.0,445,173,431,640,156,343,157,133,192,244,103,78,157,73,82,24,5,61,28,149,31,18,22,41,9
8.0,504,194,558,763,126,407,162,143,223,276,138,96,161,100,100,52,6,66,29,209,38,32,19,62,12
9.0,685,277,703,971,184,438,214,196,241,363,169,105,216,139,151,71,11,73,44,235,46,46,33,77,8
10.0,609,266,665,996,200,457,205,176,250,321,163,111,203,102,132,66,14,104,42,234,26,40,32,83,10
11.0,687,271,676,1029,219,515,216,206,285,368,219,114,202,131,151,71,13,94,31,244,44,46,38,75,10
12.0,695,250,763,988,244,511,291,246,300,331,190,114,225,113,127,55,9,95,44,237,49,33,32,71,11
13.0,682,301,731,887,243,531,184,218,323,356,189,85,243,97,144,55,11,121,53,217,48,37,43,76,10
14.0,668,282,688,687,193,503,205,204,240,264,184,82,217,116,140,60,8,77,53,206,45,41,34,60,5
15.0,557,238,530,465,159,406,148,156,210,193,125,52,175,78,125,38,5,64,29,141,40,26,24,56,4
16.0,348,155,371,211,122,276,102,122,152,107,93,49,114,80,67,30,7,38,34,105,22,16,20,41,4
17.0,250,99,262,131,72,188,83,78,103,71,56,18,71,33,61,14,2,28,21,53,14,8,11,19,4
18.0,173,83,152,87,67,136,46,57,66,50,56,13,42,28,21,9,0,21,19,39,16,13,11,19,4
19.0,146,69,133,68,48,99,33,56,61,40,34,13,35,18,34,8,1,15,17,27,10,6,6,17,2
20.0,144,80,103,80,34,111,61,31,55,35,32,5,31,18,23,10,2,14,14,24,6,5,7,16,2
21.0,155,91,134,161,49,121,53,64,63,66,41,14,45,27,26,11,5,26,13,31,18,9,7,8,2
22.0,245,112,189,246,71,149,56,66,86,99,82,29,58,28,32,13,2,29,14,59,42,11,12,21,3
23.0,337,175,246,364,100,239,99,77,148,123,99,40,91,42,35,37,4,49,27,91,54,18,17,17,2
