hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,62,430,57,36,11,67,14,17,49,18,124,32,5,68,11,7,14,12,2,5,2,3
1.0,68,441,68,50,13,98,21,17,79,30,90,20,9,37,14,23,23,14,3,1,0,2
2.0,63,465,68,36,15,94,22,12,60,33,95,28,6,39,11,12,17,15,0,2,0,0
3.0,88,629,94,47,16,109,39,22,96,45,163,36,11,53,23,18,18,25,3,3,1,5
4.0,50,511,76,46,19,78,28,14,61,29,105,30,8,38,15,17,22,12,3,0,0,2
5.0,48,405,77,38,13,87,13,15,60,29,97,25,14,43,20,18,11,17,1,2,4,2
6.0,48,498,116,41,20,87,24,13,65,31,125,27,10,49,17,17,15,23,4,1,2,3
7.0,61,560,131,52,29,115,21,7,81,36,120,34,11,55,20,18,17,34,7,4,2,1
8.0,86,634,184,61,34,123,32,15,82,47,136,27,10,54,27,29,27,35,6,9,3,3
9.0,99,717,213,74,44,117,67,19,96,55,150,36,20,62,30,18,24,43,4,6,2,5
10.0,101,720,195,102,49,121,63,28,124,47,184,40,16,68,30,32,20,34,20,15,2,4
11.0,112,695,237,101,51,140,80,25,133,67,148,33,25,60,31,19,22,34,8,9,3,7
12.0,121,787,226,106,46,136,81,25,128,75,164,48,29,63,56,28,20,37,10,4,1,7
13.0,106,797,273,109,33,143,81,19,126,78,190,58,31,64,44,30,24,39,11,5,4,4
14.0,98,783,249,101,43,138,68,22,122,71,172,45,24,59,41,27,25,38,8,2,4,4
15.0,57,577,150,51,25,106,41,12,88,43,103,24,17,48,33,21,9,21,9,1,3,3
16.0,37,368,99,18,10,66,26,11,55,37,75,25,10,29,15,10,6,24,2,1,1,2
17.0,18,248,62,17,12,47,10,8,27,20,45,18,6,15,11,6,9,9,2,0,0,3
18.0,14,136,32,13,3,46,8,9,15,13,32,7,3,10,5,7,2,4,0,0,1,1
19.0,12,133,34,13,8,43,4,2,21,11,40,12,2,13,10,3,1,3,2,1,1,1
20.0,14,135,22,8,4,29,5,9,17,13,39,8,2,18,2,6,4,7,0,0,0,1
21.0,15,300,29,30,8,32,8,6,29,17,70,20,3,22,9,5,7,5,1,3,0,1
22.0,30,541,39,33,10,68,17,10,50,23,142,33,2,40,14,17,11,8,2,3,1,3
23.0,63,586,65,44,9,111,27,11,62,37,135,30,6,51,21,14,15,17,3,1,1,2
