hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,52,346,52,49,8,83,24,10,40,30,86,31,4,37,11,11,7,18,4,2,4,2
1.0,43,447,65,42,8,94,10,12,60,28,104,30,6,41,20,12,13,21,4,0,3,3
2.0,33,384,55,35,10,86,18,14,59,29,93,32,7,34,12,14,28,17,4,2,2,1
3.0,58,539,96,56,17,112,33,18,76,43,132,29,6,50,23,21,11,22,4,1,4,4
4.0,56,464,86,31,11,90,19,18,64,35,119,26,0,42,11,17,17,14,7,2,1,0
5.0,36,423,89,43,13,106,26,20,59,39,120,40,12,37,21,19,16,11,2,3,3,0
6.0,47,483,118,38,16,77,30,14,61,39,92,24,11,43,21,17,19,22,5,1,2,3
7.0,53,501,137,40,26,90,38,18,71,40,129,28,10,40,29,24,11,29,10,6,2,1
8.0,86,672,203,101,34,102,41,13,87,39,142,30,19,56,22,15,21,23,9,6,5,2
9.0,99,653,235,140,58,103,52,22,89,51,136,41,21,66,41,29,21,34,6,6,3,2
10.0,76,699,224,74,44,99,55,26,91,49,120,43,27,56,30,28,25,27,7,13,2,2
11.0,95,713,256,98,51,113,69,22,100,54,164,35,27,64,35,29,24,25,9,3,7,6
12.0,113,755,265,127,42,134,63,23,111,66,170,38,32,65,39,38,29,30,7,2,8,5
13.0,102,785,261,95,54,124,87,28,118,71,177,39,27,63,50,22,17,32,8,3,4,2
14.0,86,707,251,80,40,142,67,20,105,59,147,32,24,51,43,23,25,43,7,5,3,5
15.0,76,585,183,61,35,107,51,11,65,41,109,24,23,45,22,16,18,33,0,3,2,2
16.0,35,394,89,33,12,73,19,4,54,25,78,16,9,23,13,15,13,13,5,0,1,2
17.0,24,225,64,24,7,61,14,2,39,22,41,10,1,16,13,8,6,16,2,0,2,2
18.0,17,157,43,13,3,30,8,0,25,15,25,9,2,13,10,4,3,6,1,0,1,0
19.0,9,102,43,19,6,40,12,7,13,11,25,8,2,8,6,9,5,3,1,0,2,0
20.0,18,119,22,10,8,27,17,4,22,16,33,7,1,5,4,0,5,3,1,1,2,0
21.0,20,268,38,16,3,40,5,8,20,10,51,10,7,24,16,10,7,7,3,4,2,0
22.0,33,526,48,50,11,71,24,12,51,22,115,25,3,44,14,9,13,12,2,3,1,0
23.0,44,479,55,49,13,98,30,9,52,41,120,29,8,58,20,12,20,10,4,1,3,3
