hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,285,157,275,151,114,240,69,97,120,66,101,19,56,41,43,20,4,19,22,56,12,13,9,13,4
1.0,297,168,267,154,113,231,78,89,151,78,112,21,67,39,62,11,2,25,14,49,14,15,21,21,6
2.0,307,138,311,148,155,221,63,94,125,88,105,33,77,33,61,19,2,26,20,56,15,11,7,19,2
3.0,427,210,408,227,155,337,103,129,183,112,138,31,95,75,87,22,1,42,42,109,24,33,24,35,9
4.0,347,161,273,150,129,270,73,100,168,92,112,28,94,45,69,23,4,25,34,84,18,22,15,29,3
5.0,358,152,315,127,138,264,82,116,142,74,100,27,106,58,37,17,3,29,25,76,15,25,18,25,6
6.0,348,161,314,165,109,237,59,113,142,74,97,43,118,44,57,33,2,27,21,60,19,29,15,23,5
7.0,386,173,381,185,144,297,78,145,164,89,107,28,113,56,69,19,4,29,41,85,21,29,18,26,8
8.0,523,185,474,220,130,357,92,173,191,92,123,27,131,127,90,26,2,42,29,115,25,40,14,39,6
9.0,572,236,583,299,213,448,124,180,241,126,170,40,188,147,111,32,9,41,26,121,30,26,29,41,4
10.0,649,253,603,271,218,464,137,199,264,116,159,47,204,130,130,26,6,58,39,131,36,57,24,46,5
11.0,714,262,627,322,236,552,154,228,294,126,198,57,191,167,105,30,8,45,36,154,36,53,30,46,5
12.0,810,272,632,340,274,558,214,248,355,125,191,54,229,163,153,36,11,67,53,194,50,50,36,54,12
13.0,884,284,659,347,289,583,182,266,324,164,212,52,260,100,144,50,12,89,56,175,50,45,34,56,9
14.0,767,274,680,333,239,520,168,224,301,139,220,44,231,113,149,41,8,70,40,139,34,37,33,70,10
15.0,532,165,471,215,200,422,127,173,210,106,153,36,170,76,108,30,3,54,39,116,25,30,24,44,3
16.0,352,127,312,123,115,246,66,130,159,84,94,15,100,63,68,24,5,26,34,59,14,27,21,23,2
17.0,269,116,210,70,83,183,58,76,89,50,58,5,49,36,45,21,0,8,22,62,15,14,8,21,3
18.0,165,68,138,42,58,115,43,43,64,33,40,11,37,39,37,10,5,15,13,24,6,5,9,17,4
19.0,141,62,84,36,56,108,38,46,57,26,31,6,32,17,31,13,1,17,5,16,4,7,8,10,3
20.0,143,68,75,46,31,94,38,41,57,25,31,14,34,21,16,7,1,9,12,21,12,5,7,12,1
21.0,181,82,147,66,55,130,57,39,62,29,48,11,36,20,31,9,1,19,16,28,15,6,19,15,1
22.0,227,119,222,134,103,214,86,85,88,52,62,22,91,36,34,13,3,24,22,62,18,9,12,13,2
23.0,357,200,303,157,158,278,131,105,167,78,147,32,98,51,56,20,2,40,27,75,21,15,20,19,3
