hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,243,140,105,230,305,80,199,147,114,19,4,5,5,13,3,15,5,2,7,6,5
1.0,234,178,117,248,341,80,202,139,143,20,7,11,1,12,7,14,4,3,10,7,8
2.0,223,161,137,250,300,91,222,147,157,16,5,3,4,12,10,17,2,1,6,13,3
3.0,264,172,135,261,364,104,223,148,184,18,3,5,6,15,7,29,2,2,7,14,10
4.0,216,148,113,252,287,80,206,155,153,23,1,8,1,13,5,28,4,3,1,9,8
5.0,205,111,143,241,267,75,212,139,138,20,1,6,3,20,5,19,2,1,6,10,8
6.0,173,112,131,249,257,76,217,161,129,17,4,9,7,20,4,20,1,1,8,11,9
7.0,214,73,121,272,330,96,214,160,162,17,0,6,6,15,7,17,1,3,4,12,7
8.0,240,93,130,295,342,107,242,168,203,18,2,8,5,26,7,23,1,5,2,12,9
9.0,314,122,136,303,383,125,277,250,234,27,3,9,4,15,9,20,4,2,5,12,14
10.0,327,121,149,303,403,133,328,212,220,18,5,9,7,11,10,27,1,3,6,24,10
11.0,381,135,171,370,458,162,387,253,219,27,3,7,7,12,8,25,3,6,7,9,9
12.0,435,142,212,404,516,156,405,315,277,32,6,14,9,23,15,28,3,3,6,20,18
13.0,449,139,231,430,548,189,448,269,281,29,8,14,4,17,8,34,2,8,8,16,14
14.0,383,149,228,358,549,182,469,325,281,40,9,12,4,18,7,44,4,5,9,30,12
15.0,271,108,165,272,400,95,324,177,203,40,2,4,3,6,12,21,1,5,5,17,3
16.0,147,88,73,153,189,54,176,118,100,14,3,5,3,7,7,19,0,5,2,12,2
17.0,78,54,61,64,115,34,96,58,49,10,0,3,1,18,4,6,2,0,3,4,3
18.0,47,42,29,40,75,22,69,31,18,7,0,3,1,8,4,4,0,0,6,4,1
19.0,51,34,27,39,72,20,55,16,18,6,0,0,0,7,1,8,1,3,3,5,0
20.0,56,48,21,46,70,11,48,21,24,3,1,1,1,11,3,2,1,0,2,1,6
21.0,101,80,43,86,98,35,85,40,40,6,0,2,3,5,5,8,0,0,3,5,1
22.0,221,147,84,183,215,65,141,99,87,7,1,3,3,8,2,16,2,2,7,9,5
23.0,230,163,116,230,285,79,177,130,122,18,3,5,8,17,6,23,1,1,5,11,5
