hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,111,110,39,82,37,30,40,32,35,137,5,19,10,7,12,8,11,1,3,3
1.0,129,117,35,95,61,46,48,46,32,162,12,23,16,10,11,15,16,2,5,5
2.0,129,122,23,104,60,40,46,38,34,131,11,17,16,4,14,12,22,1,6,3
3.0,133,112,47,124,69,61,36,39,36,180,10,17,18,7,10,13,18,6,3,4
4.0,100,110,45,88,52,52,39,33,45,123,11,16,17,11,12,13,21,5,2,3
5.0,139,80,48,93,54,40,43,47,35,145,12,16,9,9,14,8,12,1,6,3
6.0,133,108,50,99,60,32,42,35,43,141,13,15,7,6,14,20,13,2,7,1
7.0,125,91,44,83,51,33,44,36,40,157,15,24,8,4,12,15,24,4,6,6
8.0,126,97,42,117,64,37,43,36,48,201,11,21,12,6,9,10,16,4,6,2
9.0,145,91,58,155,75,44,71,45,41,213,9,28,16,5,18,14,32,6,6,2
10.0,156,107,39,133,87,51,60,49,52,228,17,20,15,4,13,11,37,2,7,7
11.0,174,126,59,172,96,59,88,52,55,265,18,16,16,9,16,24,29,2,5,4
12.0,162,158,55,193,91,59,89,51,65,260,26,25,22,18,17,12,18,5,9,4
13.0,208,143,50,240,144,63,85,55,76,249,24,30,20,10,26,23,31,3,5,2
14.0,177,144,51,228,106,49,99,60,56,234,23,23,24,8,18,15,31,5,12,3
15.0,151,87,61,160,69,38,65,48,47,192,12,19,12,8,18,23,24,3,9,4
16.0,96,63,25,74,49,27,48,30,31,135,8,20,14,4,10,10,14,2,3,5
17.0,87,30,12,55,29,18,34,19,23,73,5,2,4,5,6,7,10,1,2,0
18.0,44,13,10,32,19,10,15,23,15,49,2,4,3,0,10,1,10,2,4,0
19.0,55,16,9,31,16,17,13,18,9,53,4,6,5,1,2,8,3,1,1,0
20.0,31,24,8,34,28,8,15,16,21,43,1,7,5,3,5,9,8,1,4,1
21.0,51,49,16,55,32,19,24,18,14,67,9,9,4,18,4,4,10,0,5,1
22.0,84,154,15,97,43,26,44,27,16,145,7,11,10,11,6,15,22,0,3,1
23.0,109,163,35,106,42,37,58,54,25,167,17,14,7,10,9,15,14,4,2,4
