hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,64,118,59,20,66,36,35,27,32,39,126,20,140,10,150,8,5,12,26,21,49,24,50,83,18,88,18,34,17,11,2,6,6,5,11
1.0,100,134,65,26,66,56,46,22,34,51,117,23,119,10,166,11,6,15,18,25,68,17,60,85,24,103,21,39,17,7,3,4,5,17,17
2.0,113,107,76,23,78,51,48,20,36,66,122,21,119,11,181,10,7,18,20,27,62,30,65,97,28,68,24,38,14,11,2,5,7,9,19
3.0,98,132,75,34,73,59,64,16,54,52,161,20,163,11,171,10,19,14,29,27,74,23,51,158,30,85,26,56,13,9,4,9,10,19,8
4.0,115,133,73,12,70,67,60,17,39,51,147,21,136,5,136,13,11,26,26,21,65,27,63,104,28,73,24,32,17,6,3,9,8,10,14
5.0,101,142,60,32,64,69,66,24,40,34,129,19,96,5,103,11,10,14,16,18,63,33,71,103,17,72,21,36,13,14,2,6,8,13,13
6.0,102,121,76,34,59,58,62,29,36,31,127,17,108,12,119,8,10,20,36,15,49,24,57,90,24,52,31,35,20,8,1,3,13,12,16
7.0,111,126,78,30,74,68,57,23,34,29,100,27,115,11,125,10,7,19,16,148,64,24,66,108,18,57,28,51,14,4,1,2,15,16,13
8.0,136,164,70,34,76,69,53,34,22,50,128,33,111,9,131,17,3,17,27,19,55,42,54,80,29,72,26,43,15,7,3,6,8,17,14
9.0,145,239,102,30,78,86,63,34,63,29,186,42,243,11,231,17,9,12,31,21,95,27,93,117,39,131,23,68,30,10,5,9,11,19,15
10.0,148,168,109,36,70,89,76,29,66,34,209,42,174,8,189,15,14,24,28,25,80,42,89,160,28,112,26,52,26,20,3,7,15,21,15
11.0,184,257,119,44,83,93,79,50,74,25,191,49,159,16,145,12,19,21,28,14,71,51,94,154,33,88,36,67,17,5,5,9,13,26,21
12.0,189,217,88,40,97,91,97,38,54,26,219,47,133,12,185,12,11,19,37,50,75,64,134,152,41,107,45,51,33,16,8,10,16,17,22
13.0,201,329,115,64,86,96,95,35,85,33,179,51,148,20,174,15,12,17,53,44,73,55,162,158,59,96,39,60,53,11,7,11,17,19,36
14.0,173,237,88,62,78,102,83,48,76,30,173,63,120,13,154,17,15,20,33,34,53,55,114,172,33,62,42,67,22,12,4,9,14,15,27
