hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,54,542,67,47,15,97,23,25,59,23,135,30,6,60,17,18,9,11,5,1,3,2
1.0,70,667,67,56,16,98,18,17,98,26,143,21,9,53,18,23,14,20,8,3,2,3
2.0,62,668,70,42,17,92,26,13,82,33,147,41,8,55,20,20,24,18,5,0,1,0
3.0,75,730,91,54,18,91,26,15,86,37,138,26,13,63,27,24,21,25,4,3,2,2
4.0,67,601,110,52,22,92,30,18,74,39,128,30,9,62,18,22,18,10,5,1,4,0
5.0,59,591,122,51,13,106,32,28,66,36,139,25,11,51,23,26,20,20,7,1,3,1
6.0,85,579,138,57,22,82,25,18,100,39,127,29,16,49,18,20,14,28,5,3,2,1
7.0,88,652,167,41,40,103,36,21,90,37,139,28,15,57,28,27,29,26,7,2,1,5
8.0,88,699,225,64,38,104,58,17,103,45,156,32,21,65,34,28,30,33,8,7,1,3
9.0,83,683,208,67,48,109,50,23,91,53,156,38,25,51,28,24,17,28,4,3,2,3
10.0,99,721,200,71,49,114,55,17,106,46,151,32,15,66,24,24,26,34,6,5,5,3
11.0,127,705,230,75,53,137,90,30,100,60,150,38,25,52,35,31,19,35,12,9,3,5
12.0,133,766,223,109,52,144,84,25,116,61,145,42,28,57,36,25,39,30,6,4,4,3
13.0,120,876,287,108,50,139,72,25,117,57,207,39,20,61,33,34,30,34,15,5,1,2
14.0,113,763,233,84,55,122,72,26,94,57,165,36,39,42,38,31,18,46,11,6,3,6
15.0,74,632,181,54,35,97,61,20,92,49,119,29,21,48,18,14,12,30,10,1,2,2
16.0,47,446,90,23,14,72,32,7,62,30,88,16,3,36,20,11,15,19,4,1,1,1
17.0,18,289,62,25,12,39,15,7,34,30,61,15,5,18,12,5,6,8,1,0,1,1
18.0,23,171,34,7,6,38,2,6,19,14,39,11,3,15,2,4,4,4,1,0,0,0
19.0,13,145,25,7,5,25,7,6,17,8,24,11,0,8,7,3,1,1,0,1,2,1
20.0,17,133,18,16,4,29,6,12,19,18,32,13,1,14,7,3,1,3,1,2,0,2
21.0,23,334,32,16,6,35,16,11,28,13,83,12,6,38,9,8,8,7,1,1,1,2
22.0,36,842,56,36,14,56,17,9,69,17,190,19,8,78,10,19,16,15,3,2,1,3
23.0,72,706,65,51,13,97,20,20,92,31,189,28,3,83,19,14,16,12,4,1,5,6
