hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,62,413,68,35,12,87,23,14,55,35,114,26,6,46,13,14,11,14,8,3,0,1
1.0,59,513,73,43,19,116,29,12,65,34,117,20,11,57,15,12,14,12,3,0,0,2
2.0,71,538,103,67,12,72,18,14,69,34,124,20,7,42,17,18,19,20,4,1,1,1
3.0,71,574,111,36,14,105,40,16,87,29,148,22,5,51,20,29,23,23,7,3,1,1
4.0,64,550,106,51,19,100,29,8,85,43,120,33,10,38,16,17,16,20,6,3,3,4
5.0,61,518,113,38,12,88,26,17,72,39,120,30,18,49,22,18,17,20,5,2,1,1
6.0,70,538,128,50,23,75,29,10,74,40,106,26,8,40,20,19,15,13,3,3,1,2
7.0,55,575,193,47,37,85,44,10,84,42,123,20,20,34,25,17,27,17,10,1,1,2
8.0,87,633,221,61,56,94,49,19,85,44,129,40,14,41,18,22,21,32,10,3,1,0
9.0,89,666,250,63,40,101,59,22,107,35,136,36,21,47,32,30,22,27,10,3,3,2
10.0,94,634,214,62,50,95,65,25,83,60,147,27,35,55,25,22,16,25,12,7,3,3
11.0,95,669,224,80,62,124,73,24,109,43,144,34,15,62,28,20,22,33,8,13,6,4
12.0,122,673,244,84,55,125,93,26,105,58,123,38,51,45,34,25,17,30,6,3,7,5
13.0,128,744,260,103,47,114,97,29,107,58,156,34,33,39,34,23,24,40,5,6,7,2
14.0,108,714,245,70,40,123,74,22,99,52,123,41,27,49,42,29,29,28,13,2,1,4
15.0,68,622,179,57,39,99,68,15,98,54,108,21,22,45,26,26,14,31,8,1,3,7
16.0,42,432,103,33,21,73,43,7,69,28,93,22,12,26,14,17,16,17,10,2,2,0
17.0,38,305,91,30,17,53,21,5,41,28,78,16,9,28,12,7,3,14,5,3,0,3
18.0,18,177,56,14,5,47,12,3,22,14,31,4,3,15,6,7,3,11,2,0,0,1
19.0,19,135,42,8,11,33,11,8,24,13,33,2,6,17,4,5,4,4,0,1,1,0
20.0,12,144,39,8,5,27,9,4,22,10,25,5,1,9,1,7,3,4,0,3,1,1
21.0,21,173,42,21,8,24,12,9,26,13,43,10,2,16,8,8,7,9,2,0,1,3
22.0,24,289,37,32,10,43,20,9,36,14,76,18,8,46,4,4,6,5,3,1,0,1
23.0,52,452,50,41,13,93,28,19,46,23,118,27,4,70,27,16,14,12,5,0,3,2
