hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,270,146,224,155,129,219,69,82,106,72,95,22,69,47,43,19,3,23,21,58,21,15,19,22,1
1.0,352,176,307,146,118,232,90,93,130,85,95,20,75,49,44,19,2,28,21,56,32,11,22,23,3
2.0,320,121,280,159,140,226,90,102,117,85,97,24,85,49,43,12,1,42,27,56,18,19,23,35,3
3.0,488,190,416,213,165,322,131,134,223,132,141,29,135,65,98,16,2,42,29,80,37,27,16,42,6
4.0,411,170,279,149,142,244,94,100,158,83,113,26,91,45,59,14,2,39,33,78,21,21,19,34,0
5.0,354,144,297,168,143,258,90,89,168,95,124,34,88,55,58,14,1,24,24,60,21,17,13,25,4
6.0,373,155,331,132,126,252,93,114,162,66,92,30,88,46,51,11,6,26,25,70,20,17,12,25,5
7.0,384,191,374,163,138,308,84,100,143,74,91,24,112,65,67,28,5,29,34,83,23,27,18,29,3
8.0,540,209,419,216,167,392,86,164,225,95,117,34,127,111,94,23,6,32,31,126,33,36,21,50,6
9.0,597,232,556,241,202,460,113,187,211,114,145,39,186,119,136,28,7,52,29,150,29,50,27,48,4
10.0,608,288,550,250,209,474,131,181,244,116,169,45,169,111,124,42,11,44,48,115,31,45,15,72,4
11.0,709,311,599,262,236,519,148,216,248,145,163,54,212,133,119,33,8,42,61,144,21,41,24,43,10
12.0,714,262,600,319,227,471,127,231,263,141,169,45,237,114,148,36,10,41,43,137,39,38,42,61,10
13.0,728,268,624,309,241,479,135,207,292,130,210,43,216,99,136,40,3,47,49,119,25,33,43,58,8
14.0,627,300,591,258,256,494,129,178,274,153,174,48,208,74,126,34,8,41,46,143,25,32,30,65,10
15.0,582,195,505,214,195,366,110,150,242,106,140,33,167,85,124,39,1,35,44,110,27,32,23,50,5
16.0,385,176,350,116,136,274,82,119,184,62,94,19,112,46,72,20,5,23,29,69,13,17,16,28,3
17.0,234,95,227,78,99,158,46,86,130,48,62,10,54,45,64,11,2,14,18,39,20,9,13,16,2
18.0,140,83,142,52,73,157,33,41,78,30,48,10,57,22,43,12,1,13,17,23,10,5,6,10,3
19.0,160,84,109,37,58,99,30,41,62,31,28,7,42,23,23,9,1,12,12,31,6,7,7,13,1
20.0,131,65,91,45,47,102,32,28,57,23,29,7,45,29,31,6,0,12,13,29,7,7,5,13,1
21.0,55,11,35,9,14,30,11,9,19,9,13,0,18,5,6,1,0,4,3,4,3,1,2,7,0
22.0,302,126,168,118,81,161,42,64,104,42,58,23,78,32,28,10,0,17,27,50,18,10,9,17,2
23.0,404,179,257,148,128,242,81,103,174,65,105,29,90,38,38,14,2,30,22,57,17,14,10,35,7
