hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,344,152,264,141,104,218,87,121,135,75,112,24,70,66,41,15,3,31,20,42,22,22,14,28,5
1.0,310,159,291,146,116,251,89,107,126,88,111,18,89,61,53,14,2,46,20,61,25,13,14,33,4
2.0,343,147,295,173,120,206,78,126,128,82,126,25,82,60,53,18,5,40,24,56,21,19,13,19,3
3.0,517,233,427,204,178,314,122,185,194,129,154,38,122,120,71,29,7,32,40,90,24,21,19,50,6
4.0,339,154,315,159,136,280,97,128,159,88,110,31,106,66,61,15,3,37,22,67,33,13,16,28,3
5.0,320,165,314,142,132,234,102,121,146,84,103,31,97,58,63,20,1,35,22,62,24,21,21,26,5
6.0,365,162,315,148,105,279,96,124,162,79,104,27,103,50,62,22,2,25,23,84,23,25,17,30,2
7.0,409,170,374,171,132,287,90,124,155,92,103,27,125,81,70,25,4,30,27,116,21,27,19,36,7
8.0,494,208,474,186,151,351,114,167,168,100,154,28,180,106,100,26,6,31,39,99,30,36,20,32,6
9.0,654,258,559,269,178,475,128,221,248,120,184,42,185,153,110,29,8,52,43,140,28,36,30,53,4
10.0,622,241,589,262,194,465,141,220,260,120,181,60,193,159,113,38,9,46,46,149,29,33,18,49,7
11.0,647,253,565,290,223,511,142,233,256,130,177,49,231,135,118,34,3,46,45,150,39,56,25,55,8
12.0,704,292,622,303,248,469,115,246,246,160,218,57,237,122,143,31,14,70,47,143,42,43,35,39,4
13.0,785,332,607,329,290,526,177,245,276,167,256,57,261,122,136,33,11,66,64,190,27,36,31,56,11
14.0,690,275,603,281,246,516,129,269,266,156,216,46,261,100,147,33,12,51,39,157,35,37,28,53,1
15.0,588,232,464,221,197,384,112,180,202,120,171,38,195,83,97,32,5,48,26,125,16,32,22,50,9
16.0,377,138,345,108,142,305,75,124,153,74,98,30,142,56,83,27,7,34,26,65,16,25,28,54,1
17.0,235,119,233,76,101,213,68,77,104,52,66,17,69,41,54,11,2,17,17,54,21,13,10,24,7
18.0,183,77,163,49,89,132,39,56,82,37,38,5,38,46,39,12,2,13,15,38,9,9,10,16,1
19.0,145,65,107,37,55,110,26,48,66,36,24,8,43,17,23,9,1,13,17,24,9,7,7,15,2
20.0,130,55,100,47,44,114,28,39,55,34,35,5,37,24,18,6,0,10,7,18,5,6,10,17,0
21.0,142,92,126,66,53,125,39,45,62,29,50,9,60,23,25,6,0,16,17,19,2,12,8,10,1
22.0,217,92,160,101,77,178,52,65,90,48,71,16,64,32,31,18,5,19,20,44,6,15,13,12,3
23.0,344,196,242,144,121,254,77,96,124,78,106,23,103,48,47,17,1,41,27,77,21,18,11,24,3
