hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,349,178,261,436,105,249,123,101,138,185,108,55,86,37,45,23,9,45,19,98,49,9,21,41,7
1.0,419,200,350,482,150,310,135,110,164,186,133,54,134,45,82,37,4,65,34,131,51,15,14,22,6
2.0,392,205,393,544,134,316,127,139,182,214,113,61,115,60,69,34,5,47,19,146,54,16,17,48,6
3.0,508,276,402,599,159,338,133,166,205,242,117,59,170,71,94,34,3,53,34,151,82,30,19,56,8
4.0,428,182,389,543,184,306,112,117,182,196,94,47,134,48,107,35,2,46,17,135,80,26,20,42,9
5.0,509,194,485,488,138,332,144,143,185,185,124,67,121,59,85,38,7,63,33,131,65,21,23,42,8
6.0,437,209,419,497,129,325,118,140,172,173,112,63,145,40,76,39,7,47,21,115,68,16,24,50,9
7.0,520,219,457,532,161,374,132,154,175,192,124,65,148,99,94,47,3,62,27,115,73,30,23,37,2
8.0,525,214,458,577,153,386,171,150,246,199,139,58,171,103,115,43,9,48,32,134,70,40,28,47,3
9.0,618,237,677,626,184,460,226,180,228,224,160,85,210,105,123,38,7,100,34,150,70,33,33,55,14
10.0,659,246,538,621,179,474,190,178,236,225,150,84,165,111,93,40,9,58,34,194,73,47,38,69,7
11.0,687,277,612,647,193,537,196,241,294,227,159,70,216,136,124,40,8,72,50,170,54,44,32,54,7
12.0,764,300,631,623,247,515,188,173,261,233,174,84,198,94,123,47,6,78,46,203,59,39,29,56,7
13.0,789,402,706,595,269,618,197,249,300,224,224,63,305,120,179,45,8,83,44,184,63,44,37,75,7
14.0,653,311,655,491,238,531,173,224,257,209,205,68,279,97,151,43,6,60,49,164,54,34,23,52,12
