hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
15.0,471,220,481,235,194,412,103,155,216,122,119,37,186,100,97,38,5,37,44,137,24,20,25,42,4
16.0,293,129,297,121,116,232,67,120,143,80,100,32,130,52,67,24,7,28,21,72,13,24,16,33,2
17.0,303,143,256,161,99,242,84,73,154,82,141,24,108,36,58,23,1,26,15,98,15,21,14,35,3
18.0,163,105,151,54,52,151,35,51,71,41,54,12,41,31,40,22,1,14,7,28,7,9,21,13,3
19.0,150,83,123,39,44,125,37,46,61,32,31,4,37,22,19,8,1,9,15,24,9,10,5,17,1
20.0,119,75,105,36,34,98,41,35,45,25,31,8,29,21,20,12,0,6,10,30,6,5,9,15,1
21.0,144,85,98,73,63,114,39,45,61,37,56,6,37,19,21,16,1,8,18,35,9,9,6,8,2
22.0,189,128,170,93,77,159,65,63,80,46,82,11,52,38,23,13,2,17,14,44,12,6,9,10,1
23.0,321,210,204,160,116,224,79,101,123,77,111,18,98,41,42,14,2,22,28,54,16,16,11,27,5
