hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,117,122,24,77,57,36,47,37,49,139,13,17,11,8,14,12,27,6,5,2
1.0,121,122,32,97,52,44,47,41,31,120,22,13,13,7,8,12,29,5,5,4
2.0,141,109,36,109,82,62,50,33,33,128,25,18,8,8,13,8,31,3,10,3
3.0,151,112,44,124,70,49,56,50,44,163,13,23,26,8,12,17,23,3,3,5
4.0,125,83,40,92,81,43,48,31,35,141,17,16,15,10,11,13,17,2,3,2
5.0,124,111,33,90,74,48,38,36,45,178,12,13,9,2,12,17,22,3,5,5
6.0,140,87,34,91,58,49,36,42,48,141,11,14,12,10,14,9,22,4,4,1
7.0,141,87,44,109,59,41,66,41,43,168,17,17,13,5,16,14,30,2,5,5
8.0,125,89,45,107,82,44,68,43,49,197,17,20,12,10,9,9,38,4,5,5
9.0,156,103,35,150,71,50,60,52,57,255,16,17,21,10,19,21,41,4,7,7
10.0,157,125,52,176,75,47,78,53,65,249,15,25,23,8,22,8,31,0,4,7
11.0,214,153,62,202,114,42,81,62,70,284,25,28,15,9,25,18,31,2,5,4
12.0,174,153,56,231,125,74,72,57,96,287,16,38,22,7,26,18,26,3,7,5
13.0,218,171,55,257,131,54,103,65,80,237,24,27,33,13,25,21,32,9,12,9
14.0,179,142,53,281,128,62,97,61,88,256,20,34,21,11,35,8,38,3,10,6
15.0,166,91,48,179,106,37,78,51,49,215,18,23,11,8,24,15,28,3,4,4
16.0,118,55,18,93,66,29,41,20,33,156,16,20,6,6,12,10,13,1,4,1
17.0,82,28,17,40,41,27,19,23,30,111,6,9,6,1,9,6,12,2,4,2
18.0,59,20,15,34,21,10,21,19,7,64,5,7,4,3,5,3,3,2,1,1
19.0,32,22,13,29,14,9,9,19,9,50,7,7,8,1,2,4,7,1,4,3
20.0,39,36,6,28,25,10,13,12,12,47,5,9,3,1,9,7,5,1,2,0
21.0,66,59,6,57,33,15,24,25,19,82,7,9,13,20,5,14,11,2,3,0
22.0,86,119,17,106,31,18,38,23,20,175,3,7,12,23,6,11,24,1,3,1
23.0,116,134,22,142,41,40,64,47,33,172,12,19,13,13,8,9,26,2,4,2
