hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,40,417,63,32,11,101,12,8,48,39,93,37,6,51,11,15,10,15,2,3,4,1
1.0,41,420,62,41,5,86,15,16,60,32,86,33,5,53,13,14,6,16,5,3,1,3
2.0,47,453,65,36,6,93,14,8,57,24,107,23,8,45,13,11,13,15,5,1,0,2
3.0,56,609,115,56,15,142,27,18,73,41,147,45,6,66,22,19,21,18,3,4,3,4
4.0,55,517,69,38,12,112,11,11,76,28,108,31,7,34,9,23,24,11,3,1,0,2
5.0,39,506,91,32,19,102,20,12,50,27,105,28,4,34,11,16,11,25,2,1,1,2
6.0,58,487,121,48,20,103,24,13,70,31,110,30,11,36,17,9,16,21,6,1,2,4
7.0,44,576,137,60,23,74,24,22,72,41,110,32,9,33,14,10,25,22,5,4,2,1
8.0,104,651,163,66,33,115,22,18,92,57,162,32,12,51,20,18,15,21,7,7,2,2
9.0,92,894,190,83,53,159,57,19,93,58,237,35,13,47,26,18,25,45,10,4,3,3
10.0,95,1156,191,79,36,205,51,24,142,52,234,60,20,69,24,18,21,36,5,17,5,5
11.0,106,957,212,111,53,218,65,34,126,69,224,132,31,66,47,28,18,41,9,2,4,3
12.0,120,865,244,83,46,237,66,26,123,57,226,121,22,51,46,23,27,31,12,7,1,5
13.0,118,897,243,89,49,279,67,31,125,63,199,156,27,58,35,38,33,36,8,5,4,3
14.0,84,849,229,80,32,246,63,16,108,60,214,108,23,61,34,29,21,47,10,2,4,1
15.0,61,676,153,61,26,148,37,10,86,47,149,63,16,44,25,23,15,27,12,0,0,2
16.0,34,420,103,26,13,88,27,5,60,31,95,37,7,17,9,16,8,12,3,1,0,2
17.0,20,272,54,17,6,72,12,5,34,18,51,16,5,8,12,6,4,11,1,0,0,0
18.0,15,189,38,8,5,38,8,5,29,7,33,9,1,10,6,4,4,3,1,0,0,1
19.0,13,150,39,12,3,33,5,7,14,6,28,6,1,7,7,2,2,2,0,0,1,0
20.0,11,125,35,11,4,42,7,3,12,7,23,10,0,5,3,1,2,4,3,2,0,0
21.0,29,254,36,16,6,62,17,4,25,13,63,25,1,22,12,8,4,0,1,1,1,2
22.0,49,545,49,28,17,99,27,16,45,23,120,46,7,34,14,11,8,10,10,3,1,0
23.0,54,539,58,48,8,160,21,19,66,33,98,60,8,51,17,11,19,8,2,2,0,2
