hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,421,156,249,168,134,273,97,116,187,80,125,29,115,56,46,12,1,25,48,75,14,17,9,33,0
1.0,380,183,308,164,155,279,108,125,191,92,122,19,122,69,58,19,3,28,39,101,32,25,14,22,0
2.0,421,189,317,184,127,293,81,144,201,82,120,32,109,61,67,23,2,17,39,91,24,27,20,30,5
3.0,478,219,376,193,158,351,109,130,232,88,147,31,110,66,69,25,4,26,34,83,25,28,14,36,6
4.0,424,195,382,180,148,291,99,123,177,95,116,28,146,51,65,38,5,38,29,91,18,20,21,33,5
5.0,428,172,401,184,149,309,99,100,184,91,123,27,120,70,76,22,4,23,24,73,26,18,27,36,5
6.0,380,180,372,182,143,271,83,125,190,71,113,28,136,65,79,20,3,36,29,73,21,30,24,34,1
7.0,458,195,386,186,150,358,95,147,184,86,125,32,135,84,77,30,2,32,31,70,18,27,23,39,3
8.0,481,212,390,201,198,402,103,165,223,114,122,40,160,104,79,19,4,37,45,99,22,24,23,41,2
9.0,533,232,477,191,220,461,110,184,254,110,141,32,189,131,86,34,8,42,43,123,19,46,16,34,4
10.0,520,269,474,220,206,456,101,195,303,124,162,44,208,122,103,32,9,40,35,133,21,43,28,49,12
11.0,726,281,556,289,242,552,142,203,334,102,187,45,225,138,112,35,7,50,64,146,30,67,31,62,3
12.0,715,263,606,297,250,555,123,214,339,140,215,41,275,137,119,22,4,50,43,170,32,58,31,55,3
13.0,711,270,590,310,274,589,139,223,339,140,229,57,316,109,147,37,7,43,52,159,35,36,30,63,12
14.0,593,271,539,262,239,536,146,203,267,117,202,53,244,120,116,52,11,54,48,139,38,34,30,59,8
15.0,512,209,439,192,171,376,119,169,214,114,136,33,200,81,105,40,2,38,27,117,24,27,25,36,3
16.0,321,124,285,107,121,286,83,118,136,79,106,24,100,67,70,22,3,25,30,76,11,18,22,40,3
17.0,219,95,218,72,102,193,42,77,103,53,55,5,87,47,46,13,1,17,18,44,14,10,8,19,5
18.0,122,80,133,27,68,120,23,54,79,29,28,6,43,23,26,9,0,13,13,30,6,9,3,15,3
19.0,104,66,98,52,48,118,32,41,60,18,35,12,30,17,23,10,0,9,15,17,9,3,5,13,1
20.0,123,80,89,35,56,95,39,33,65,27,26,9,38,20,9,7,3,10,7,6,8,6,3,8,2
21.0,145,95,97,54,62,129,45,43,58,28,55,13,50,20,23,14,0,7,15,24,14,13,10,5,1
22.0,236,120,202,124,84,175,51,66,105,51,77,17,87,37,43,11,3,19,26,60,8,18,9,17,3
23.0,327,198,271,163,128,270,77,91,137,95,137,31,116,35,52,20,2,22,33,75,20,14,12,24,8
