hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,116,104,19,98,33,31,41,31,24,163,8,17,5,13,1,6,14,3,7,2
1.0,112,99,20,117,36,50,33,30,30,135,8,23,8,11,16,16,15,4,3,0
2.0,121,113,19,92,41,45,35,40,25,129,4,16,15,7,8,11,19,1,4,3
3.0,148,114,52,198,55,57,46,57,56,198,11,30,10,11,15,9,37,4,1,4
4.0,122,105,40,107,49,37,23,35,39,173,8,7,10,4,7,14,19,1,4,3
5.0,118,81,28,108,40,46,34,45,35,131,10,13,9,3,6,15,23,1,3,3
6.0,141,85,29,110,42,30,36,40,23,157,8,21,9,6,5,9,19,3,3,2
7.0,147,115,26,115,54,52,37,35,25,223,8,16,9,3,10,14,25,4,6,1
8.0,158,122,36,123,56,49,44,49,32,254,15,16,8,14,11,13,39,0,8,4
9.0,172,133,26,131,65,65,55,47,46,295,12,16,26,9,17,16,51,1,3,3
10.0,193,115,49,150,61,64,63,40,41,312,14,15,9,7,16,10,47,2,9,6
11.0,216,136,41,189,92,64,71,74,58,374,17,23,13,8,19,26,52,1,8,3
12.0,195,172,33,214,95,72,94,48,74,299,22,27,16,7,15,8,54,2,9,4
13.0,220,187,56,246,98,63,107,71,87,325,10,20,16,5,20,23,47,2,7,5
14.0,221,139,39,228,109,48,88,51,86,305,26,23,12,11,31,19,30,3,13,7
15.0,159,117,309,175,90,55,76,42,56,251,18,13,9,8,20,16,22,1,8,3
16.0,113,67,81,90,87,32,44,27,81,162,12,15,5,3,16,4,21,2,2,1
17.0,98,52,35,58,31,20,25,21,21,95,5,8,6,0,7,11,9,1,4,1
18.0,59,28,26,38,10,13,30,17,16,75,3,7,5,1,4,4,11,1,3,1
19.0,48,10,31,22,19,21,15,14,10,60,4,10,2,3,3,5,10,3,1,3
20.0,43,24,41,27,20,10,10,12,10,41,4,1,5,0,2,7,10,0,4,0
21.0,69,46,40,59,33,23,14,21,10,75,2,6,7,7,2,4,12,3,7,0
22.0,101,106,54,70,31,33,27,26,20,136,5,9,11,20,3,4,17,0,3,4
23.0,126,138,75,112,43,55,36,28,33,147,18,13,9,14,7,18,35,2,3,3
