hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,122,89,28,91,42,31,37,41,18,123,10,9,12,15,5,8,18,0,5,0
1.0,111,80,31,65,35,33,33,37,26,107,11,9,7,3,10,9,14,1,4,3
2.0,117,78,26,86,30,22,45,33,26,110,16,9,13,5,7,9,24,4,7,1
3.0,163,140,48,132,59,41,47,56,40,184,10,18,21,6,15,8,20,3,5,4
4.0,111,73,42,78,43,40,34,35,30,115,13,13,12,5,8,10,19,0,5,3
5.0,129,58,37,78,33,37,30,38,33,139,9,10,14,4,2,8,16,2,6,2
6.0,122,71,27,67,37,27,48,29,35,108,5,23,11,6,10,9,19,1,4,1
7.0,123,61,27,66,48,23,49,41,29,166,7,10,14,8,7,17,22,2,0,1
8.0,140,97,37,88,46,45,43,40,33,185,9,21,15,7,10,10,18,1,6,2
9.0,144,119,37,127,60,54,51,55,47,247,10,19,11,6,11,19,20,1,8,3
10.0,143,118,48,132,54,40,68,61,48,242,16,11,13,4,9,8,32,3,5,5
11.0,166,134,44,135,68,52,89,68,52,256,17,13,14,10,16,12,17,3,5,5
12.0,194,141,53,159,97,52,66,62,52,277,18,18,24,10,16,13,18,3,6,5
13.0,226,130,68,197,127,65,105,63,70,253,19,29,23,8,20,29,33,2,12,5
14.0,178,126,73,186,105,58,95,56,67,245,15,23,18,2,23,16,26,2,5,5
15.0,146,135,41,155,84,28,69,56,45,220,17,27,20,5,21,15,32,2,10,8
16.0,120,45,23,103,69,29,65,32,35,215,7,9,10,4,11,12,10,2,4,1
17.0,103,30,16,41,37,22,26,21,21,99,8,10,7,3,5,6,7,1,3,3
18.0,41,20,11,36,12,13,18,24,16,64,3,4,6,1,6,1,3,0,1,1
19.0,52,24,10,30,23,20,11,18,6,52,2,4,5,2,6,5,7,0,2,0
20.0,44,20,8,37,21,14,11,14,6,54,2,5,7,2,3,9,5,1,1,1
21.0,71,43,12,37,22,17,19,21,13,77,3,9,7,5,5,9,7,3,1,3
22.0,101,99,20,60,21,21,35,26,20,97,7,9,6,6,3,9,19,0,1,1
23.0,142,131,36,69,41,33,44,43,29,127,11,11,11,11,8,5,17,2,3,1
