hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,362,122,242,152,143,210,104,97,116,74,107,24,91,39,45,13,3,27,29,66,30,7,18,18,2
1.0,367,175,293,160,141,247,96,99,126,85,92,36,100,38,45,20,5,35,22,58,26,14,14,24,8
2.0,364,171,253,136,118,222,96,87,132,74,89,25,76,60,40,25,0,28,22,70,30,22,10,27,3
3.0,583,225,430,259,168,348,140,131,205,116,149,34,138,71,68,29,0,48,35,109,59,25,26,37,6
4.0,396,163,312,167,139,277,111,122,146,100,114,32,102,56,55,27,5,34,31,75,45,17,18,23,3
5.0,363,163,310,161,117,256,107,96,143,76,102,25,110,34,61,14,5,42,28,77,31,20,19,34,6
6.0,401,167,305,163,119,248,95,103,132,88,92,22,106,43,65,16,4,24,20,70,21,18,14,30,8
7.0,429,200,390,156,149,329,100,128,182,79,111,28,108,83,77,11,3,34,39,78,28,33,18,39,3
8.0,560,213,444,211,178,414,121,172,196,93,149,20,135,103,103,31,6,43,26,134,33,31,17,35,3
9.0,575,237,552,225,204,474,144,198,258,116,144,52,173,150,121,41,7,60,33,116,45,35,33,51,6
10.0,700,231,568,287,174,481,157,195,273,144,164,38,194,119,116,33,9,71,47,131,40,36,36,45,10
11.0,744,292,631,272,238,521,173,220,260,126,215,57,229,126,172,34,7,56,41,162,31,52,32,60,10
12.0,785,264,719,328,296,526,158,230,257,154,195,50,228,148,148,50,15,53,45,150,49,48,32,48,8
13.0,792,281,672,336,316,542,194,270,308,150,221,69,231,123,149,42,13,63,57,173,34,33,36,73,11
14.0,733,279,666,309,263,538,164,263,279,156,189,48,223,95,134,40,5,80,43,158,31,32,28,52,11
15.0,560,228,457,214,213,432,109,177,234,134,151,34,180,106,97,30,5,42,45,126,24,25,29,48,8
16.0,382,151,299,126,120,277,77,101,194,58,94,20,90,64,69,21,3,31,34,66,21,25,26,34,9
17.0,243,111,230,69,99,191,60,71,99,60,55,11,57,47,54,16,1,36,21,42,10,12,10,14,2
18.0,143,71,126,39,56,121,44,53,65,25,34,12,37,24,34,12,3,24,13,32,10,12,5,22,2
19.0,122,74,95,38,58,136,41,37,65,32,33,3,29,16,25,13,0,14,15,20,7,5,9,11,5
20.0,139,71,86,44,41,113,52,38,55,32,27,8,27,17,19,6,0,9,22,28,6,6,7,7,4
21.0,201,91,146,71,67,116,46,49,63,29,44,11,43,29,20,12,2,28,15,20,4,12,12,12,2
22.0,301,139,210,154,99,187,84,63,105,66,95,24,75,29,40,11,4,35,19,56,22,8,11,22,1
23.0,374,202,269,156,132,289,92,106,135,89,135,24,102,61,61,21,2,42,28,65,31,18,20,29,5
