hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,107,108,33,117,54,36,49,28,28,135,13,16,11,9,6,15,29,2,11,1
1.0,107,122,29,101,55,33,40,43,34,134,12,12,11,11,16,13,32,3,7,3
2.0,93,111,35,97,68,41,48,46,29,123,10,13,13,6,12,10,25,1,8,3
3.0,121,97,47,109,54,44,57,47,33,169,25,18,14,8,17,20,24,2,6,3
4.0,115,96,49,100,42,42,55,38,41,144,17,24,17,8,14,14,24,3,6,2
5.0,111,105,26,89,63,42,42,42,33,151,9,18,8,7,11,13,31,4,9,3
6.0,111,94,33,94,67,50,57,32,38,116,12,20,13,9,13,13,22,1,9,5
7.0,128,87,46,104,68,56,62,35,45,157,17,25,8,2,8,11,31,3,7,3
8.0,157,101,31,126,61,31,67,37,51,196,18,23,23,12,17,13,24,2,10,2
9.0,167,89,44,147,81,44,70,57,45,197,17,18,21,2,15,12,20,4,11,7
10.0,153,110,43,166,79,40,79,55,39,213,25,19,8,8,12,12,29,2,10,2
11.0,204,162,51,196,108,67,91,54,69,241,23,24,16,5,22,22,33,2,21,9
12.0,176,136,58,220,122,58,89,44,55,246,13,26,12,7,21,20,26,5,8,7
13.0,191,196,55,246,135,56,99,58,71,254,17,37,31,8,30,25,43,3,12,7
14.0,165,147,50,252,111,55,79,69,61,227,21,26,17,8,17,15,23,5,11,5
15.0,125,123,43,214,103,45,78,39,75,189,14,23,17,9,24,18,23,5,12,4
16.0,124,53,22,94,59,24,45,41,43,140,9,7,11,4,17,8,19,1,6,2
17.0,91,31,17,56,33,17,29,20,18,60,8,5,5,0,4,8,4,1,2,1
18.0,47,11,16,30,23,20,21,18,16,53,5,4,1,1,5,5,8,1,3,0
19.0,41,12,13,25,17,13,14,5,12,47,5,6,1,0,3,2,11,0,3,1
20.0,39,21,12,30,23,12,15,12,13,46,6,0,1,4,3,10,7,0,0,0
21.0,64,71,8,44,28,19,26,23,15,66,6,8,6,10,4,5,9,1,3,1
22.0,69,165,20,101,40,22,31,18,24,147,4,15,9,14,5,12,24,0,5,2
23.0,113,128,23,131,42,35,54,39,33,156,17,12,8,12,10,8,23,4,5,4
