hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,293,520,108,188,334,95,216,99,73,12,5,3,3,13,10,20,0,3,6,4,3
1.0,249,398,119,186,322,103,207,129,105,21,1,9,3,13,2,16,0,4,1,11,5
2.0,227,325,98,201,340,96,239,113,105,14,2,3,4,9,9,13,1,0,4,5,2
3.0,445,458,168,276,487,144,327,153,196,30,3,4,5,14,4,25,0,5,3,8,8
4.0,331,339,137,209,397,113,285,138,130,29,3,5,5,10,12,19,2,1,3,6,5
5.0,299,259,117,199,368,126,270,103,151,19,3,5,5,9,2,23,1,2,13,9,0
6.0,302,343,127,180,430,111,255,98,124,21,4,1,4,9,4,17,2,2,6,3,10
7.0,340,266,130,233,474,141,316,141,136,26,7,2,2,16,5,21,0,3,4,11,12
8.0,430,259,168,298,558,182,329,184,168,29,4,5,5,19,8,24,2,2,2,19,5
9.0,587,267,212,331,764,211,438,224,221,36,7,10,8,11,8,36,3,6,7,20,12
10.0,609,220,185,363,810,220,495,261,263,38,2,6,9,15,9,34,1,2,5,21,8
11.0,720,226,259,417,855,263,594,253,297,38,6,17,7,14,6,47,3,3,4,27,11
12.0,754,266,275,413,906,266,609,275,288,52,7,6,9,24,11,56,4,5,9,34,8
13.0,805,275,321,355,1074,294,742,270,306,35,5,12,8,16,11,48,2,5,8,19,14
14.0,693,235,285,339,1068,289,742,296,294,48,4,8,12,19,7,53,10,3,9,34,9
15.0,415,196,195,259,636,161,427,189,168,34,5,7,2,21,5,41,4,1,4,19,6
16.0,207,104,118,125,328,83,233,91,83,14,0,3,5,9,5,18,0,4,8,13,1
17.0,110,79,59,89,154,33,133,57,52,12,2,2,1,8,3,12,2,2,4,10,3
18.0,64,62,35,61,110,28,80,25,40,9,3,5,0,4,7,2,0,2,4,4,1
19.0,71,93,31,47,93,24,58,23,21,9,0,1,1,6,1,3,1,1,4,5,3
20.0,79,103,31,58,110,35,75,24,25,5,1,2,1,6,4,3,1,0,0,6,4
21.0,235,201,57,74,186,62,122,34,36,5,1,2,0,6,4,3,2,0,3,10,2
22.0,385,400,87,139,421,132,250,82,71,24,6,6,2,8,3,11,2,1,7,8,1
23.0,472,344,157,170,468,149,343,109,109,25,4,13,3,14,8,16,2,3,13,11,2
