hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,85,125,28,81,48,26,32,25,25,140,15,11,8,12,9,18,10,2,6,4
1.0,110,88,22,75,47,22,34,35,29,121,10,16,9,5,9,9,13,1,1,1
2.0,109,82,28,78,38,30,36,27,19,99,12,14,9,6,5,10,19,4,4,2
3.0,148,100,46,112,56,58,37,51,50,161,9,17,6,4,8,18,32,2,11,1
4.0,100,90,38,96,35,26,46,46,37,139,9,11,9,6,13,7,17,0,2,1
5.0,107,61,32,84,37,27,45,29,33,119,13,15,9,8,10,11,17,0,8,3
6.0,101,72,29,63,39,24,37,31,34,127,11,14,11,6,9,3,15,0,3,1
7.0,110,90,24,68,35,27,38,37,32,159,10,12,10,4,9,13,23,2,3,4
8.0,141,87,37,93,45,42,45,44,32,196,13,22,14,6,11,13,23,1,7,3
9.0,155,100,34,121,53,38,48,50,53,241,21,12,18,8,11,12,20,3,6,2
10.0,172,113,48,113,80,44,61,46,54,279,20,18,11,4,10,17,79,2,6,0
11.0,165,125,50,164,64,39,70,66,70,484,19,16,8,5,12,13,42,3,5,1
12.0,189,136,49,176,88,43,62,50,54,322,25,18,18,10,17,18,32,4,8,7
13.0,239,134,38,193,118,64,77,75,92,280,16,38,12,15,20,24,23,7,7,8
14.0,194,103,54,197,89,55,82,38,75,252,13,31,12,9,23,21,23,4,10,1
15.0,118,94,46,170,88,29,68,49,38,188,16,10,12,5,16,14,18,4,6,4
16.0,84,52,25,95,35,21,33,20,24,111,5,18,6,2,12,5,8,2,3,2
17.0,67,29,14,50,29,19,27,25,22,80,3,11,5,1,7,7,8,1,1,3
18.0,53,20,6,24,19,19,15,11,6,48,4,4,3,1,4,3,4,1,1,1
19.0,45,24,3,29,16,9,8,23,12,49,3,3,3,1,3,6,6,0,1,0
20.0,39,23,9,44,22,9,23,12,13,47,3,4,6,3,2,5,4,0,1,1
21.0,58,51,18,42,17,15,22,19,8,85,5,6,2,19,2,7,8,1,2,2
22.0,73,149,21,101,34,16,41,22,17,160,7,13,8,6,7,7,21,2,5,0
23.0,133,123,33,118,44,46,45,41,28,157,15,14,9,10,12,13,22,3,7,9
