hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,90,54,24,9,74,45,18,27,40,4,49,9,18,19,19,6,3,11,17,7,10,24,31,46,22,11,33,24,8,4,1,2,4,11,18
1.0,84,61,24,29,60,44,17,19,25,7,49,10,15,10,18,10,8,6,15,13,14,18,34,60,30,11,33,20,12,3,4,1,6,8,3
2.0,98,78,27,15,70,53,32,21,24,6,41,8,17,8,16,9,7,6,16,12,11,30,37,56,20,10,34,23,5,6,3,5,7,12,16
3.0,149,126,50,35,83,80,44,31,47,14,60,18,35,13,43,13,16,14,36,19,17,42,57,103,37,12,56,27,16,11,7,3,14,17,32
4.0,96,84,37,27,66,71,27,20,27,4,59,19,15,4,30,16,5,11,27,13,18,26,47,75,26,16,40,23,10,8,2,3,13,11,21
5.0,111,88,32,21,70,47,26,21,21,3,45,15,14,9,23,6,4,19,16,13,11,18,45,79,20,11,22,20,14,8,2,9,6,6,10
6.0,83,68,26,27,60,72,27,33,30,6,53,18,14,8,23,6,11,16,30,18,18,19,47,74,27,7,43,18,12,5,4,6,6,14,22
7.0,115,91,36,20,56,71,35,30,36,4,52,13,23,12,28,8,14,16,19,10,11,35,45,76,28,12,37,34,11,3,1,7,9,11,11
8.0,124,90,61,18,87,70,53,23,46,10,67,17,29,3,40,8,10,15,23,18,12,40,52,116,28,17,59,49,19,7,4,2,17,21,17
9.0,152,127,52,22,79,75,57,42,35,16,67,40,25,13,132,13,14,16,28,14,27,47,66,152,32,23,41,31,23,10,1,8,12,23,19
10.0,171,118,78,32,88,89,71,33,41,10,92,27,26,10,125,14,15,10,22,23,18,42,77,160,31,15,37,42,19,8,1,7,10,21,21
11.0,215,120,58,37,83,98,70,45,42,12,95,33,29,9,102,12,23,16,33,18,22,46,85,190,32,15,43,44,21,7,3,11,12,20,35
12.0,205,178,59,59,101,92,74,55,55,12,116,63,37,11,81,16,13,28,38,30,31,49,89,201,40,19,48,49,23,15,7,9,12,22,24
13.0,210,214,64,49,78,108,76,48,61,7,96,57,73,20,95,15,16,29,41,23,32,60,92,192,35,23,66,37,17,12,10,9,19,22,32
14.0,190,179,65,56,103,95,78,51,41,13,110,40,35,16,58,20,21,31,44,28,22,67,101,181,33,15,50,43,35,11,7,8,24,18,27
15.0,165,144,45,48,56,97,62,26,49,6,91,47,21,7,70,9,17,11,41,15,19,49,71,176,28,11,47,43,20,4,6,4,10,8,25
16.0,86,88,33,29,52,54,40,17,31,1,50,30,14,6,26,4,14,8,15,11,14,39,52,96,23,5,15,18,15,8,6,5,6,11,7
17.0,67,51,13,16,37,31,13,15,11,2,35,9,4,7,9,1,8,5,3,4,6,19,25,51,16,8,9,17,12,4,1,8,9,3,12
18.0,45,26,20,12,21,19,10,5,13,3,15,6,5,6,6,8,5,2,5,4,5,12,20,30,6,8,6,4,2,3,2,2,5,2,7
19.0,44,25,10,10,14,15,6,4,7,1,11,1,6,1,7,2,4,2,7,3,5,9,13,9,7,2,4,4,3,4,3,3,3,6,4
20.0,31,16,14,9,17,20,10,4,8,1,10,5,10,3,15,4,2,4,6,5,3,7,8,24,7,4,6,6,4,0,0,2,3,6,3
21.0,49,24,14,8,27,18,15,10,14,1,21,8,14,3,33,4,5,3,7,3,14,11,15,21,6,4,8,9,7,3,4,5,3,4,7
22.0,74,49,34,23,36,29,20,16,22,9,48,8,15,9,33,9,7,10,8,6,6,15,36,66,11,10,20,23,10,5,3,3,4,12,8
23.0,124,75,34,20,68,42,35,19,32,6,56,11,35,9,37,6,14,5,21,10,11,27,24,77,28,11,35,27,10,8,2,4,4,12,15
