hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,67,64,37,16,37,44,54,23,20,11,63,12,38,10,46,10,4,8,16,11,23,16,33,58,18,19,24,21,14,6,6,3,3,7,12
1.0,105,103,26,19,53,58,44,21,15,2,61,7,46,9,28,13,6,8,18,12,14,21,30,41,13,21,19,18,19,6,1,4,5,10,15
2.0,98,104,31,26,49,67,33,19,24,5,55,18,37,12,30,6,10,9,27,9,14,30,44,68,24,14,26,32,19,5,3,4,8,11,10
3.0,133,121,55,33,70,98,65,27,37,8,85,18,50,13,54,18,12,21,32,17,25,31,58,113,25,28,47,41,18,6,5,6,9,10,14
4.0,111,76,37,25,40,65,48,33,30,10,67,17,47,8,30,11,11,10,19,15,17,27,47,70,16,16,40,22,15,8,1,4,0,12,11
5.0,100,85,45,24,58,67,37,23,22,10,56,18,42,12,41,12,11,16,19,12,20,27,36,75,25,23,41,22,23,5,2,2,8,5,9
6.0,101,100,35,26,58,80,40,23,19,9,72,24,48,8,36,14,7,16,27,10,25,28,54,84,28,27,34,13,9,7,1,8,1,6,17
7.0,94,75,51,32,71,65,28,31,36,7,84,25,33,17,48,12,11,15,28,14,17,30,41,84,37,29,41,25,17,7,2,8,5,14,21
8.0,103,120,55,24,63,93,38,34,20,9,76,29,31,12,38,14,12,14,35,18,11,35,65,87,31,24,32,39,19,8,2,8,5,26,17
9.0,162,125,41,48,74,89,44,35,46,12,75,42,54,21,68,19,12,20,18,18,28,51,66,138,30,28,49,36,19,4,2,14,16,25,17
10.0,170,162,80,43,83,97,82,35,63,17,96,29,52,20,50,20,12,19,25,15,26,43,76,137,37,33,31,30,18,11,5,8,15,28,25
11.0,197,206,72,67,77,98,70,36,55,11,85,41,46,16,61,18,12,20,34,26,36,61,88,166,45,27,47,36,18,15,7,4,15,28,26
12.0,202,169,82,45,93,122,93,33,39,13,117,56,51,19,68,20,17,20,48,36,22,55,111,200,34,26,43,52,39,17,5,8,14,20,25
13.0,202,212,69,50,107,154,80,51,67,10,130,77,64,18,89,17,24,39,49,25,37,52,120,231,54,38,58,51,27,17,8,19,12,24,17
14.0,194,195,66,68,87,145,65,47,54,14,135,68,51,16,86,19,12,30,50,23,32,51,111,201,41,27,56,50,32,8,8,6,7,22,18
15.0,171,149,76,51,75,86,57,27,37,10,90,55,40,11,77,17,17,9,39,15,24,56,70,160,30,20,44,37,17,11,4,6,7,20,19
16.0,89,93,58,40,52,48,41,16,35,3,55,33,21,5,31,4,8,14,28,11,16,36,46,89,25,14,31,21,17,4,2,4,8,16,11
17.0,70,48,24,16,27,34,29,4,18,3,33,13,12,2,18,4,4,9,15,6,9,23,40,42,17,11,11,11,10,1,2,6,7,3,9
18.0,41,30,21,14,34,27,12,8,13,1,20,7,15,1,7,6,7,2,8,4,9,9,18,22,6,3,6,9,5,3,0,2,3,2,3
19.0,41,32,11,11,24,15,11,9,5,1,17,5,8,5,7,1,7,3,4,7,2,9,13,24,16,6,4,8,2,5,0,3,1,4,1
20.0,39,38,7,8,16,14,17,5,8,0,23,3,11,2,14,1,1,1,6,3,4,3,11,15,7,11,1,6,3,4,0,2,3,6,4
21.0,44,42,15,7,26,23,18,10,14,2,34,8,14,7,13,1,5,4,7,3,8,11,14,29,7,12,5,10,10,4,3,2,4,6,4
22.0,60,76,29,15,33,34,31,16,22,6,54,15,28,5,37,6,6,8,11,8,14,15,34,51,22,27,23,21,12,3,1,2,3,14,2
23.0,100,98,35,18,55,47,33,24,28,13,54,19,57,14,25,9,9,10,24,14,21,30,34,44,20,24,26,24,8,5,4,6,7,8,13
