hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,285,170,221,125,124,206,50,108,124,64,84,20,86,40,52,7,4,30,21,61,10,22,18,21,1
1.0,298,166,247,134,113,239,73,89,126,84,84,24,122,47,50,11,2,25,16,54,16,21,14,20,3
2.0,331,143,274,155,145,222,72,105,134,75,115,20,96,56,47,14,4,27,26,55,21,14,16,18,4
3.0,471,231,389,227,142,346,94,144,202,127,158,30,165,71,65,23,6,26,23,105,26,12,26,31,5
4.0,320,166,295,167,153,256,64,106,136,90,102,25,117,48,66,9,2,31,18,73,28,14,20,29,2
5.0,345,161,298,160,117,275,79,110,155,77,108,26,99,48,63,26,3,37,18,58,21,20,17,21,2
6.0,375,128,314,135,132,256,77,117,172,82,102,29,97,52,65,15,6,36,25,76,27,16,20,34,5
7.0,389,199,364,169,156,299,77,158,171,104,102,20,144,79,82,27,5,34,31,66,20,27,22,31,5
8.0,501,184,461,205,160,369,84,157,224,91,125,30,147,114,85,26,4,43,37,96,32,29,24,36,3
9.0,600,241,546,263,198,469,115,194,253,122,179,38,175,136,115,37,4,44,44,100,23,36,18,48,7
10.0,619,246,556,284,195,492,126,209,319,127,169,52,218,121,119,23,7,53,51,101,30,42,22,46,6
11.0,711,262,598,311,229,557,160,232,290,123,183,43,242,125,111,33,12,46,40,142,36,42,35,55,5
12.0,758,267,587,318,260,541,143,221,295,111,185,41,254,130,130,47,9,50,48,150,40,47,35,66,7
13.0,778,272,666,315,274,527,156,223,315,140,213,49,256,121,158,43,7,48,49,175,38,39,50,68,8
14.0,700,284,597,313,261,501,132,231,295,142,198,58,245,101,120,37,10,70,68,136,30,40,24,69,8
15.0,555,212,452,211,240,392,118,193,225,124,144,29,190,85,108,28,11,30,47,135,21,31,26,48,7
16.0,351,140,313,112,130,278,79,138,143,76,93,15,119,47,68,14,6,37,23,68,17,16,22,27,3
17.0,246,102,236,79,99,201,52,68,91,70,51,13,77,48,51,20,2,22,26,40,8,15,11,14,4
18.0,166,89,134,47,81,118,31,56,69,31,44,10,50,27,25,12,2,13,18,19,5,10,16,16,2
19.0,127,68,113,44,53,119,23,49,75,33,35,11,45,23,21,10,2,12,16,26,6,3,9,10,0
20.0,126,76,101,43,52,112,44,40,42,27,35,7,27,16,16,6,3,15,10,16,6,14,10,6,3
21.0,161,92,117,43,59,128,38,54,64,28,47,9,27,20,17,5,1,24,10,32,6,16,8,7,1
22.0,195,107,150,99,78,134,59,65,71,37,50,23,71,23,29,10,2,25,25,45,18,5,6,17,2
23.0,346,172,215,145,132,275,80,101,129,79,118,30,117,58,41,13,2,44,36,67,15,13,11,27,1
