hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,45,366,61,39,11,63,24,13,33,24,87,31,5,32,16,15,10,11,3,2,2,1
1.0,61,397,70,42,13,64,37,12,53,31,88,21,10,42,20,11,23,14,3,0,4,1
2.0,53,415,90,34,14,81,27,19,62,31,101,21,12,36,16,17,14,11,4,0,1,2
3.0,56,542,106,63,13,93,39,9,70,35,112,23,9,49,18,31,16,27,3,4,6,5
4.0,46,535,86,46,23,75,27,11,59,34,124,42,10,41,21,12,12,27,0,2,1,3
5.0,61,430,104,43,16,85,38,14,68,42,102,31,11,35,24,16,15,12,2,1,3,3
6.0,54,510,139,49,24,70,39,12,72,43,102,28,11,34,22,21,13,27,3,2,2,1
7.0,79,503,148,45,32,100,48,22,81,49,132,15,12,41,21,16,14,26,3,1,1,3
8.0,75,563,206,65,34,97,64,15,75,49,108,26,22,35,26,14,17,29,5,2,0,2
9.0,80,594,199,63,50,93,55,21,85,48,123,15,18,35,25,18,19,19,11,1,11,4
10.0,71,621,171,96,33,79,59,12,73,39,109,32,18,48,28,21,15,29,5,2,5,2
11.0,117,606,237,78,43,94,84,30,94,35,117,16,26,55,26,19,20,21,8,3,3,3
12.0,119,645,234,86,47,98,89,21,107,61,160,29,27,40,31,36,19,40,6,7,6,1
13.0,108,670,232,74,36,145,64,19,98,55,130,29,20,49,35,19,24,39,14,7,1,4
14.0,102,679,250,71,51,109,71,26,83,57,132,23,29,39,37,28,17,29,11,5,5,7
15.0,80,569,178,53,20,101,50,15,74,49,110,23,21,35,26,23,10,18,3,7,2,1
16.0,43,375,115,32,15,53,31,14,51,39,95,12,17,27,12,15,4,20,3,0,9,1
17.0,32,240,73,17,10,74,13,4,32,15,47,14,6,12,6,12,5,7,4,2,3,1
18.0,30,177,42,14,4,34,10,8,17,14,37,9,3,7,4,7,5,6,3,1,3,0
19.0,18,142,28,5,6,28,9,9,10,13,25,7,2,12,6,2,3,4,0,1,0,3
20.0,14,101,32,14,12,28,5,3,12,8,26,7,3,10,3,3,6,4,1,2,0,1
21.0,18,155,32,10,7,25,6,6,22,11,24,13,1,19,9,4,5,3,2,2,15,1
22.0,32,220,29,26,12,42,13,6,23,10,56,10,4,22,10,3,5,11,2,2,5,1
23.0,82,380,57,37,5,62,19,19,45,24,83,18,1,36,13,23,9,12,0,2,2,1
