hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,140,110,25,77,52,33,34,36,41,143,16,13,10,4,10,6,19,5,5,0
1.0,139,126,27,120,52,46,44,40,55,130,11,19,12,8,12,12,23,2,4,4
2.0,138,94,54,91,50,42,58,39,45,130,15,16,17,15,13,14,22,3,4,4
3.0,178,104,47,121,56,53,44,51,50,170,10,14,10,9,19,19,30,3,6,2
4.0,124,111,36,105,50,37,51,48,45,138,18,23,14,5,11,14,20,3,1,1
5.0,122,88,31,103,55,50,50,55,45,146,12,15,12,11,12,13,26,1,8,5
6.0,117,89,30,84,50,48,48,49,38,140,19,12,11,7,7,11,14,2,6,5
7.0,165,94,33,99,40,50,61,53,40,187,12,19,8,7,12,12,28,1,2,2
8.0,148,111,40,77,66,58,47,62,41,199,17,19,8,5,10,11,29,7,4,5
9.0,171,116,33,102,67,52,53,56,39,230,13,21,4,9,16,13,24,3,8,3
10.0,173,123,37,110,70,47,70,39,56,243,15,20,8,9,10,10,31,3,6,3
11.0,213,158,37,125,104,45,74,61,58,261,23,27,17,10,20,21,32,8,6,3
12.0,219,156,45,172,108,54,86,59,85,285,20,26,14,16,25,18,32,4,10,6
13.0,208,196,52,176,115,58,80,54,72,260,20,29,20,6,17,13,28,1,8,6
14.0,183,150,54,187,118,55,101,53,69,266,23,22,19,6,24,21,31,3,5,6
15.0,187,96,71,162,72,39,69,46,49,199,20,18,20,9,13,11,26,2,10,4
16.0,98,55,26,83,63,20,44,52,31,163,10,11,8,9,7,17,11,1,1,3
17.0,94,40,25,62,24,24,35,15,27,95,10,11,6,0,7,13,9,1,6,2
18.0,63,20,11,32,34,8,18,13,15,53,3,5,0,2,6,4,6,1,2,1
19.0,42,11,15,26,21,18,12,23,8,64,5,5,4,2,4,7,7,0,1,1
20.0,55,23,16,25,20,11,20,16,17,56,5,1,3,1,6,6,6,0,3,1
21.0,65,54,10,34,22,23,9,20,8,71,4,6,4,15,6,9,8,0,2,2
22.0,71,94,16,68,29,23,31,30,23,121,6,10,4,11,7,11,32,2,5,1
23.0,132,139,30,80,55,30,43,40,31,156,16,14,9,12,4,9,26,2,3,1
