hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,91,116,38,17,58,49,36,27,23,11,54,19,36,10,25,11,3,11,20,11,27,23,54,58,28,17,25,29,16,8,5,5,8,7,13
1.0,113,98,55,22,72,67,29,18,29,24,80,22,55,14,47,17,9,20,25,19,19,24,59,71,23,19,23,29,14,8,5,4,5,10,9
2.0,108,101,42,23,57,68,49,40,26,11,65,29,44,10,33,17,8,10,25,24,13,25,49,70,29,17,26,30,13,11,6,3,10,12,12
3.0,132,116,55,38,68,92,35,24,40,9,84,28,43,13,34,12,13,21,20,20,17,30,70,102,34,12,34,22,13,6,2,5,8,11,18
4.0,104,123,34,22,58,76,41,16,27,13,80,19,31,9,32,17,9,13,23,10,22,29,58,86,21,16,35,33,15,6,1,4,7,10,15
5.0,109,100,41,25,88,83,36,24,32,9,74,30,41,14,29,12,13,22,23,21,20,36,78,78,23,22,36,26,20,5,3,5,14,14,16
6.0,129,110,36,27,66,98,51,24,19,15,72,28,39,13,40,9,8,37,17,13,16,37,59,91,18,16,33,25,16,3,1,6,6,11,13
7.0,121,121,34,33,77,104,48,33,27,11,84,46,35,13,39,15,18,31,21,10,14,31,72,84,28,19,31,38,21,4,6,3,5,16,25
8.0,151,135,34,34,97,104,47,24,32,11,85,29,49,8,46,11,12,25,33,19,22,46,69,114,26,17,34,43,21,7,3,11,5,21,23
9.0,137,158,39,37,77,90,45,34,31,13,95,39,44,6,37,14,17,26,40,14,21,43,86,144,31,19,37,38,17,10,7,6,7,19,19
10.0,153,164,49,35,70,100,61,33,35,12,87,54,34,12,59,11,9,21,28,21,21,36,86,107,29,17,34,42,31,14,2,1,12,22,24
11.0,193,164,61,37,66,105,73,43,47,8,101,58,49,22,57,8,20,33,50,25,28,55,78,153,34,17,31,50,29,14,4,8,9,21,24
12.0,206,238,59,72,74,117,58,48,46,14,102,73,32,23,66,14,25,32,40,20,23,52,119,144,41,23,52,51,40,14,4,7,13,26,33
13.0,203,199,74,86,102,129,88,45,53,12,146,53,54,22,68,14,18,28,44,28,32,64,141,180,32,23,53,69,31,8,6,11,11,20,31
14.0,163,200,59,80,77,122,70,35,45,14,141,64,46,16,61,16,18,25,27,22,26,71,107,176,43,15,36,65,48,12,6,7,14,20,26
15.0,151,170,34,57,55,92,61,32,39,4,95,46,24,23,51,12,16,17,40,21,26,49,86,133,30,17,26,55,16,11,6,5,12,15,19
16.0,103,70,34,37,47,47,41,17,25,4,51,13,19,8,36,6,7,9,18,16,8,22,56,92,29,16,19,35,12,4,5,5,1,12,13
17.0,48,56,23,23,31,33,19,8,18,1,33,12,12,7,24,7,5,3,13,5,7,15,53,35,11,6,9,8,8,5,5,6,2,5,8
18.0,44,29,9,10,19,28,12,6,9,1,19,5,13,6,10,4,9,3,8,2,3,16,25,23,12,6,3,9,8,2,0,4,2,1,2
19.0,37,37,8,4,17,16,17,6,6,0,18,1,5,5,10,3,2,1,9,3,4,8,20,19,12,4,9,4,4,4,0,0,4,3,2
20.0,30,24,11,8,21,11,15,3,7,1,9,4,11,5,8,4,4,2,6,8,9,5,10,16,1,7,5,4,2,4,2,2,1,3,6
21.0,49,27,15,5,28,16,15,13,14,1,21,9,22,4,11,4,5,4,13,6,8,13,15,24,7,7,3,8,3,3,0,7,2,3,5
22.0,64,57,17,20,34,23,25,16,22,14,38,13,33,11,28,9,6,1,11,9,11,18,37,36,18,19,14,22,11,4,2,1,2,7,10
23.0,95,66,32,12,52,36,31,24,27,17,72,8,38,11,28,10,8,6,31,10,20,19,28,58,21,14,27,33,13,5,5,8,8,9,10
