hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,120,102,86,91,53,30,34,25,21,129,14,21,11,11,13,10,45,1,2,2
1.0,135,140,48,94,61,42,46,36,33,157,15,23,4,6,13,19,31,0,7,3
2.0,133,106,49,87,62,41,41,32,29,150,9,22,9,6,5,8,25,1,4,1
3.0,141,108,56,108,59,52,44,54,48,146,10,19,23,11,7,11,24,3,10,4
4.0,122,87,62,83,55,52,38,36,44,133,15,24,6,1,16,16,27,1,7,4
5.0,116,98,62,72,63,44,52,40,55,103,21,7,7,5,19,10,25,3,6,3
6.0,112,87,43,79,47,45,43,36,38,123,18,16,6,4,7,16,26,1,5,2
7.0,123,83,59,113,65,39,54,48,47,149,21,18,9,7,15,17,29,1,3,3
8.0,146,95,46,131,58,41,48,47,41,169,20,25,16,11,8,12,19,3,5,7
9.0,149,126,51,144,69,41,60,41,55,225,20,14,15,7,13,19,30,1,8,7
10.0,151,130,52,153,91,49,63,49,62,244,26,33,13,6,16,14,32,2,11,3
11.0,172,153,59,217,107,65,79,56,61,250,27,29,15,8,19,29,45,3,10,5
12.0,204,128,68,191,140,57,89,75,122,267,35,32,27,12,20,17,40,0,13,4
13.0,177,162,56,251,137,63,88,65,84,246,32,41,16,8,25,16,34,3,11,7
14.0,181,131,78,215,121,65,104,52,77,223,30,33,12,7,18,17,40,3,12,3
15.0,143,105,49,172,85,41,63,52,60,201,16,15,11,6,19,13,30,1,6,5
16.0,97,57,28,95,55,16,53,22,33,134,10,14,15,0,12,9,11,2,2,6
17.0,78,33,25,48,36,16,21,23,25,78,5,11,5,3,7,8,5,0,4,0
18.0,58,20,12,18,22,10,15,15,9,50,6,4,2,1,2,0,6,0,0,0
19.0,43,17,11,22,17,8,12,11,7,38,24,7,5,0,1,8,6,0,3,2
20.0,32,22,9,25,26,13,13,9,13,36,4,4,1,2,7,4,4,1,0,1
21.0,48,61,20,60,30,16,21,29,13,82,6,11,3,17,8,10,7,0,3,2
22.0,76,142,17,97,45,22,38,29,26,146,3,11,6,16,3,9,19,1,4,0
23.0,134,150,30,112,59,30,52,45,28,144,13,18,16,15,8,11,15,4,7,2
