hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,84,84,27,16,53,51,27,23,19,15,38,8,19,6,25,8,6,3,19,9,9,14,42,45,16,6,28,18,5,5,3,8,1,7,17
1.0,84,79,23,16,56,62,42,20,19,6,42,21,29,8,28,8,7,4,13,9,14,18,24,51,22,6,53,18,11,4,1,7,7,8,8
2.0,102,83,26,13,59,44,23,29,23,3,43,15,20,9,22,7,7,8,19,15,17,20,37,59,32,8,47,28,17,6,1,5,4,11,19
3.0,151,109,45,36,65,81,63,36,35,11,69,23,29,17,36,9,18,20,39,13,28,38,42,101,43,11,53,40,18,18,0,12,6,10,12
4.0,91,88,34,23,70,77,40,23,22,11,25,24,21,5,23,10,13,7,20,11,9,23,35,63,18,10,55,25,14,4,0,5,5,13,12
5.0,113,95,26,29,52,75,25,24,30,9,46,23,22,11,25,13,12,9,29,11,8,22,35,73,22,10,43,22,16,5,1,6,6,7,18
6.0,105,98,20,27,51,66,35,28,21,6,59,12,24,15,34,8,12,12,16,10,7,37,39,73,34,15,36,23,12,4,3,6,13,9,12
7.0,107,93,38,23,53,69,28,31,20,8,44,26,20,7,27,6,11,17,18,10,9,30,38,64,35,6,31,16,15,9,2,6,7,6,15
8.0,121,100,32,27,64,70,47,28,38,5,59,23,22,6,35,15,9,12,18,13,16,31,43,85,41,6,23,17,14,9,2,8,6,15,15
9.0,154,118,51,34,74,75,60,41,48,19,77,28,27,11,60,12,13,18,36,22,22,31,70,147,30,13,30,32,19,8,3,8,11,17,13
10.0,142,143,43,43,97,82,50,47,36,13,73,23,26,8,38,13,20,21,46,24,13,46,61,166,38,14,30,45,22,11,3,11,12,23,27
11.0,191,126,67,39,87,87,62,51,40,12,68,44,29,13,46,14,19,8,51,22,21,62,86,167,41,11,39,32,30,11,6,8,9,17,24
12.0,188,158,56,52,98,108,88,45,58,8,87,58,20,11,61,18,16,23,44,22,25,44,105,192,35,12,43,59,35,13,6,6,13,24,26
13.0,202,179,65,61,113,99,84,48,60,16,94,58,36,13,58,13,13,21,45,23,23,55,83,197,33,20,48,54,30,12,4,11,14,18,32
14.0,198,187,60,53,111,99,96,46,45,3,83,53,22,12,49,10,17,29,48,27,15,44,136,176,34,10,34,52,31,8,7,8,13,18,29
15.0,147,153,39,62,67,74,65,29,47,7,76,30,14,7,38,16,17,13,36,13,14,51,77,130,29,6,30,57,26,5,6,9,17,12,13
16.0,99,99,26,43,59,43,37,19,16,3,42,18,10,8,21,9,8,9,27,11,10,27,58,86,16,9,17,27,11,5,2,8,8,11,11
17.0,67,53,15,19,25,37,30,11,14,3,24,6,7,6,11,6,16,8,15,13,10,15,40,50,13,4,14,12,9,3,1,5,6,3,15
18.0,67,36,6,13,25,24,16,5,7,1,13,7,4,4,11,6,6,6,2,4,3,9,33,49,12,8,11,9,3,0,0,2,5,3,10
19.0,32,14,9,4,21,16,9,6,12,0,19,2,7,6,4,3,11,4,7,1,1,13,19,20,12,4,3,7,2,2,0,4,1,2,8
20.0,42,26,14,13,13,15,9,3,7,1,11,3,7,8,7,2,4,4,6,4,5,11,22,19,5,3,4,6,4,0,0,2,3,1,8
21.0,58,35,14,7,28,12,19,13,17,6,25,3,11,6,5,8,6,1,4,1,2,11,20,20,17,4,2,11,5,1,1,1,0,8,8
22.0,55,48,26,13,52,14,20,14,13,4,19,9,10,2,13,7,5,4,17,6,8,9,26,38,14,10,10,22,6,8,2,7,2,4,6
23.0,87,89,27,20,75,30,35,24,23,9,32,14,27,6,16,6,11,12,11,15,14,24,35,52,27,9,10,24,19,6,3,10,5,13,9
