hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,88,99,28,86,31,25,43,22,31,118,6,11,8,8,6,16,16,2,3,1
1.0,90,98,20,68,37,31,25,28,19,119,16,18,11,9,9,6,11,4,5,0
2.0,109,82,30,79,45,36,36,33,30,109,24,17,9,6,12,21,23,1,4,1
3.0,152,105,49,124,72,36,51,42,37,221,14,19,12,11,11,27,16,7,7,3
4.0,121,80,36,75,44,36,30,33,28,111,15,13,11,2,11,13,12,1,4,4
5.0,76,72,33,73,36,32,59,34,36,125,6,20,9,4,8,12,23,1,3,2
6.0,88,80,32,64,33,29,40,34,32,108,7,24,12,4,14,14,16,0,7,4
7.0,135,49,34,71,50,28,40,34,34,155,13,15,13,2,12,12,23,3,3,4
8.0,138,106,37,95,52,43,53,41,40,202,14,22,15,7,8,19,30,0,5,1
9.0,139,110,32,121,74,43,54,43,42,230,10,13,14,8,9,13,23,2,6,7
10.0,157,124,48,120,80,45,62,47,50,261,15,20,17,5,19,12,38,3,6,7
11.0,181,148,47,155,89,50,68,56,73,280,18,25,10,6,14,15,25,2,7,8
12.0,192,136,59,157,99,66,74,58,69,263,14,17,16,12,19,19,35,7,3,7
13.0,234,148,52,221,96,50,92,54,75,237,22,26,19,19,14,25,39,3,11,6
14.0,182,116,59,187,113,45,95,49,81,237,12,22,17,12,31,16,25,2,8,3
15.0,151,105,37,166,87,38,78,51,46,186,14,13,13,6,16,17,29,2,8,5
16.0,107,52,24,71,45,19,39,25,33,123,11,15,3,5,4,8,8,4,0,0
17.0,93,29,22,44,28,15,34,15,18,58,7,5,6,1,12,5,4,3,1,1
18.0,44,14,13,19,15,12,12,14,11,46,7,6,2,0,5,9,3,0,0,1
19.0,41,11,11,31,11,7,20,14,5,50,5,5,3,2,3,9,4,0,2,2
20.0,40,20,12,14,19,10,15,10,7,45,8,7,3,5,2,6,6,1,1,2
21.0,67,61,18,47,22,20,19,15,14,90,6,14,5,21,4,10,13,0,3,2
22.0,79,165,28,90,37,29,64,34,32,154,11,9,8,10,9,8,13,1,4,3
23.0,137,124,41,109,49,35,62,49,44,166,18,14,11,9,9,17,15,3,3,2
