hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,57,376,34,29,9,61,17,18,38,16,111,23,4,32,7,9,9,11,5,0,1,1
1.0,49,385,49,33,15,68,17,7,67,26,89,18,4,42,18,21,9,11,3,3,1,4
2.0,43,382,54,28,11,56,14,9,51,33,81,19,3,35,19,17,5,11,4,0,1,4
3.0,74,678,90,55,12,85,22,15,82,43,146,30,11,52,24,19,25,23,2,5,1,3
4.0,45,511,78,41,11,70,32,11,59,34,107,25,11,45,26,12,16,12,1,2,1,6
5.0,45,459,78,37,8,70,21,8,64,28,110,20,10,30,20,16,13,12,3,1,2,4
6.0,67,451,110,39,14,78,25,14,57,39,93,18,13,38,19,13,13,14,1,1,3,1
7.0,48,529,121,52,29,96,25,11,86,49,121,28,12,28,20,19,15,16,1,5,3,2
8.0,79,668,183,89,27,80,42,21,66,39,130,32,18,52,34,20,20,32,7,3,2,3
9.0,82,687,191,87,45,92,61,16,83,49,160,34,22,52,25,15,12,37,7,5,2,3
10.0,101,655,237,93,58,108,60,19,93,37,142,29,18,42,28,29,15,21,13,9,0,1
11.0,97,693,214,88,48,111,60,23,99,56,132,19,32,49,38,19,22,35,2,7,3,5
12.0,102,679,225,100,40,138,75,22,97,52,166,22,26,39,39,34,17,17,7,9,7,3
13.0,116,742,237,102,31,133,74,25,105,61,148,24,24,47,43,41,21,24,10,5,6,2
14.0,95,650,208,85,45,135,60,17,115,62,143,43,23,44,35,23,16,30,9,2,3,3
15.0,67,546,161,66,31,83,39,8,78,39,89,36,21,45,27,28,12,34,7,3,2,0
16.0,30,374,101,36,15,82,22,9,62,32,75,19,12,34,15,9,10,17,5,0,3,0
17.0,19,252,60,21,12,57,21,5,27,15,53,15,4,23,12,10,7,9,0,1,3,3
18.0,15,160,52,7,4,40,7,4,27,18,34,8,2,11,8,4,4,8,0,0,3,0
19.0,15,130,38,6,7,40,3,5,20,9,23,8,1,8,6,3,4,4,1,0,2,0
20.0,14,124,29,8,4,25,5,6,14,13,23,9,2,7,5,6,5,4,0,0,6,0
21.0,11,178,31,23,7,31,9,6,21,10,26,13,6,18,9,5,4,7,2,3,3,0
22.0,33,320,46,13,11,49,12,4,40,17,70,20,3,37,10,12,10,5,4,2,4,1
23.0,47,367,53,43,10,68,28,13,43,25,100,27,13,32,20,8,12,8,3,2,3,1
