hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,141,129,32,74,41,30,44,37,37,138,9,17,10,10,2,9,14,2,4,2
1.0,152,117,39,76,55,34,50,50,27,153,8,22,16,13,15,14,32,2,4,4
2.0,126,119,46,83,43,44,46,41,28,192,14,13,18,3,12,7,28,1,2,4
3.0,189,132,34,80,46,57,47,40,52,161,13,18,15,7,17,11,38,5,4,4
4.0,161,110,46,75,41,55,59,34,37,136,16,19,10,8,15,12,18,1,8,4
5.0,137,87,29,107,54,45,46,42,36,145,10,13,11,10,10,17,22,1,8,0
6.0,130,90,31,101,55,40,41,42,25,124,6,11,10,9,4,11,18,2,5,1
7.0,154,95,33,90,40,27,40,54,41,176,11,16,12,8,3,11,20,4,3,3
8.0,169,100,45,83,62,34,50,42,40,201,9,18,14,5,9,8,21,2,5,2
9.0,175,96,27,106,66,53,76,52,45,216,13,23,15,9,5,10,21,4,4,1
10.0,156,105,40,122,82,46,70,54,53,209,27,11,18,9,13,21,33,3,4,8
11.0,161,138,52,133,100,60,68,61,66,241,21,31,13,3,22,20,41,7,7,4
12.0,199,156,57,149,94,59,92,62,78,232,26,21,18,4,25,15,27,5,5,7
13.0,206,163,66,161,123,46,107,69,72,265,21,18,16,7,24,20,28,4,7,5
14.0,194,143,42,172,135,48,105,62,101,253,19,24,17,13,23,16,31,2,8,5
15.0,145,121,44,169,98,41,84,46,52,200,13,20,15,8,9,13,21,3,7,10
16.0,115,62,32,90,49,28,57,36,34,147,10,15,9,6,10,12,15,2,4,5
17.0,126,42,31,57,37,12,36,26,26,117,7,4,6,3,7,9,9,0,5,2
18.0,66,27,18,33,30,14,18,15,19,65,4,10,3,0,4,5,7,2,2,2
19.0,49,18,14,28,19,12,15,19,6,75,3,7,4,0,6,4,7,0,2,0
20.0,40,24,9,22,18,10,16,13,12,65,2,3,3,1,7,5,5,1,2,1
21.0,52,41,11,41,24,11,26,19,11,71,5,5,6,4,5,7,9,0,1,1
22.0,71,113,15,64,38,26,29,16,17,106,5,8,10,9,5,8,50,1,4,2
23.0,116,133,29,102,46,18,44,56,32,140,11,11,6,6,16,11,23,1,5,2
