hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,332,179,257,164,135,268,75,99,136,64,112,16,98,41,47,22,2,36,24,56,17,21,10,24,6
1.0,466,178,305,195,137,299,91,105,171,75,125,23,114,62,58,20,1,35,26,58,24,22,19,29,3
2.0,383,187,320,190,153,289,76,139,175,107,131,20,100,54,63,19,2,43,32,91,18,22,18,32,5
3.0,464,231,403,213,189,346,82,143,195,95,124,36,125,61,69,13,5,33,27,92,22,27,17,35,5
4.0,430,185,368,185,166,314,78,132,200,94,120,24,110,46,73,19,5,36,26,89,21,19,16,38,5
5.0,440,194,360,172,152,308,92,135,174,77,118,23,124,65,81,15,2,45,29,80,22,22,21,32,3
6.0,425,173,392,158,165,291,74,112,182,90,132,21,126,60,72,35,4,26,34,84,18,18,18,34,7
7.0,443,201,441,176,163,356,100,148,179,104,134,35,144,92,84,19,2,39,25,78,28,25,20,25,1
8.0,540,229,448,195,173,430,89,186,225,97,124,25,159,113,90,25,5,36,34,106,23,32,23,33,3
9.0,586,249,497,227,190,484,110,194,269,133,145,44,186,121,107,31,4,48,42,138,24,47,23,33,5
10.0,596,274,505,254,199,456,94,185,240,105,150,41,179,130,108,28,5,46,53,134,20,38,30,33,1
11.0,707,300,553,294,272,497,123,209,304,131,192,48,228,141,105,37,7,45,38,153,35,51,34,47,7
12.0,754,274,693,305,279,518,122,226,297,146,204,45,225,114,125,46,9,52,47,159,37,50,31,58,6
13.0,734,280,695,319,282,568,133,233,306,150,218,49,273,97,159,32,6,41,62,163,49,47,26,64,4
14.0,701,254,616,288,267,521,126,235,304,137,216,47,276,108,116,45,9,55,43,188,30,39,24,58,9
15.0,530,187,490,192,199,381,91,177,225,103,142,38,203,71,103,27,4,38,65,113,26,34,21,62,6
16.0,332,112,291,125,144,270,64,111,135,77,101,21,110,60,78,27,2,26,32,74,14,23,10,35,3
17.0,243,101,194,72,93,204,37,72,101,51,69,16,68,38,42,18,1,13,23,46,9,15,8,19,1
18.0,130,67,117,34,70,128,25,44,59,32,38,9,47,27,36,7,5,16,19,30,10,9,4,17,2
19.0,118,84,88,35,57,113,34,39,43,30,37,3,36,24,19,6,2,10,14,29,5,6,5,13,2
20.0,110,56,89,41,34,93,32,46,63,22,34,9,39,14,18,7,1,9,14,14,7,6,6,8,1
21.0,120,81,130,69,55,121,37,47,51,35,53,15,42,26,24,9,0,13,17,30,8,9,8,12,3
22.0,220,99,191,145,94,188,49,82,95,56,100,20,82,33,48,14,0,16,22,58,9,13,10,24,5
23.0,385,169,279,164,127,243,73,97,135,68,126,21,99,36,48,23,2,31,25,61,15,17,19,22,3
