hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,104,85,25,24,44,67,24,27,21,4,43,10,21,9,89,8,8,9,17,10,74,21,36,58,18,11,22,22,10,5,5,7,6,5,9
1.0,94,64,32,21,47,60,28,23,17,6,48,15,14,7,101,8,16,12,32,9,96,28,29,56,30,8,45,25,13,2,2,7,4,10,16
2.0,86,64,21,19,63,54,24,25,20,6,60,19,10,12,66,7,8,7,23,8,52,26,38,59,22,8,26,12,11,9,6,7,6,7,5
3.0,144,91,47,31,93,109,43,27,48,5,70,30,29,11,128,13,8,15,26,24,90,35,46,114,45,18,50,31,11,6,1,10,4,14,13
4.0,98,56,32,21,78,70,39,18,35,14,65,23,17,9,84,12,11,16,21,10,63,25,30,59,47,9,38,27,14,2,2,4,4,10,9
5.0,83,82,37,17,57,63,23,30,28,7,60,9,16,14,75,12,9,18,29,7,61,26,25,69,29,7,54,19,7,7,1,11,6,14,17
6.0,94,92,34,18,57,82,28,28,14,11,51,22,24,7,65,10,16,16,27,9,38,26,51,81,21,10,40,16,8,4,2,6,5,5,9
7.0,111,75,33,23,112,80,26,28,24,15,40,24,16,7,81,14,16,15,15,8,58,24,48,66,34,14,33,25,9,5,3,4,8,10,7
8.0,119,75,27,28,211,67,48,27,32,12,63,29,23,10,58,8,21,19,25,10,43,29,55,82,39,8,46,37,12,7,1,7,5,18,16
9.0,156,89,36,40,264,83,39,38,43,14,72,30,23,14,92,11,18,13,24,14,56,34,68,120,39,18,37,41,16,9,2,8,12,15,17
10.0,151,116,51,36,209,98,53,32,35,28,74,24,22,10,94,12,16,21,42,20,65,32,53,128,42,11,43,39,12,11,4,7,13,19,26
11.0,184,137,58,43,190,105,57,39,51,15,102,34,26,19,92,12,12,21,26,18,67,46,64,149,43,15,41,48,32,22,4,90,12,17,25
12.0,203,150,52,52,140,104,78,55,52,18,95,61,19,8,109,21,21,21,43,25,52,54,88,196,47,22,50,59,33,10,6,17,15,26,32
13.0,203,153,68,77,145,106,93,47,52,16,97,66,26,14,88,22,22,16,53,32,46,65,97,183,48,15,65,43,32,8,4,11,16,15,22
14.0,180,171,57,79,128,103,69,42,57,11,110,45,29,15,78,11,12,23,46,26,39,51,99,166,42,10,51,42,33,12,7,13,11,16,36
15.0,113,125,35,47,88,47,42,23,29,9,71,36,17,11,81,13,10,11,28,14,32,32,65,133,29,5,32,33,13,6,4,16,14,10,17
16.0,111,99,25,33,60,37,25,11,27,7,43,12,18,6,31,9,17,8,23,16,26,18,36,61,25,6,14,23,13,2,3,7,10,7,9
17.0,66,43,19,19,36,25,24,9,13,1,21,7,9,8,21,1,2,6,12,7,17,20,14,41,12,13,13,15,4,2,1,8,2,9,8
18.0,47,30,9,17,21,23,11,5,6,2,14,4,3,6,14,2,5,5,5,4,9,15,27,30,9,3,5,13,4,2,1,0,1,2,4
19.0,30,25,9,7,22,12,5,5,3,0,8,2,7,4,14,7,6,3,4,5,10,7,12,23,14,4,3,8,2,2,0,0,2,6,5
20.0,31,24,6,3,22,26,12,4,5,1,7,1,6,3,9,3,1,0,4,1,8,6,10,24,12,4,5,1,3,2,0,1,1,2,5
21.0,40,26,9,4,37,31,24,19,10,3,11,3,10,7,23,3,5,7,12,3,15,15,16,23,11,7,4,6,5,5,3,3,0,3,9
22.0,67,54,25,20,48,32,23,10,14,5,28,11,15,6,47,12,5,7,8,5,32,10,20,44,10,10,41,19,12,10,2,6,4,14,8
23.0,107,80,19,23,80,47,26,45,21,8,51,12,23,16,48,9,11,21,15,7,36,29,33,69,23,14,43,30,10,6,2,6,4,10,14
