hour,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21
0.0,332,187,128,310,381,123,252,131,151,22,4,5,4,17,5,19,3,4,10,6,10
1.0,340,188,142,320,384,129,254,137,163,33,2,8,6,17,5,29,3,3,2,19,12
2.0,299,193,123,339,438,124,280,155,161,22,6,4,6,18,9,18,5,1,7,9,8
3.0,368,195,160,360,415,123,276,139,142,18,5,5,7,18,8,33,2,6,3,10,9
4.0,301,181,138,336,369,103,257,136,138,23,6,5,6,7,6,17,0,3,7,9,10
5.0,284,160,150,261,363,117,242,147,137,29,6,10,3,11,5,25,2,1,6,12,11
6.0,266,164,128,276,340,87,244,134,151,23,3,3,7,13,6,16,2,1,3,8,12
7.0,289,179,136,294,399,122,271,128,165,27,4,4,8,20,9,22,4,3,10,17,8
8.0,382,176,178,269,403,131,276,174,160,35,3,3,4,21,5,18,3,3,6,13,10
9.0,385,183,159,328,483,142,320,179,183,26,4,10,2,14,7,20,3,0,7,11,11
10.0,405,186,160,309,531,147,374,149,198,26,2,3,7,13,15,22,0,4,5,11,7
11.0,486,201,212,386,680,186,445,232,232,37,0,11,8,12,13,34,2,3,4,16,8
12.0,526,240,209,354,630,199,436,234,261,30,2,11,7,18,15,37,3,3,5,19,10
13.0,537,198,236,431,671,199,522,297,273,38,2,12,10,16,11,38,2,4,10,22,11
14.0,447,174,233,532,675,163,478,304,315,34,5,11,5,16,11,43,2,8,8,16,21
15.0,304,145,133,271,483,140,378,167,178,29,3,8,8,17,9,24,2,3,7,26,10
16.0,209,96,122,164,283,67,236,106,99,29,2,1,4,7,4,26,2,0,2,13,3
17.0,101,67,67,81,184,38,105,33,63,9,4,3,6,6,8,8,1,1,2,7,3
18.0,70,62,54,71,119,27,75,16,32,11,0,0,3,8,4,5,0,0,3,6,3
19.0,67,39,31,31,81,25,55,19,26,3,0,0,2,5,4,9,2,2,6,5,2
20.0,48,81,28,40,76,22,65,16,27,4,0,2,2,6,2,6,1,2,4,4,1
21.0,118,116,33,61,111,39,78,37,33,11,0,3,1,8,2,5,0,0,3,2,0
22.0,211,118,41,102,189,59,120,55,53,11,2,2,3,4,6,9,1,1,5,6,7
23.0,288,163,90,195,316,95,191,93,94,14,2,3,3,15,6,13,4,0,7,9,7
