hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,411,168,263,166,133,249,89,119,163,83,119,20,100,59,41,25,3,31,26,56,14,16,14,24,5
1.0,396,186,345,188,136,309,106,127,165,76,138,24,123,56,58,20,2,39,30,73,25,29,16,42,3
2.0,425,225,380,194,141,313,100,137,143,90,137,27,102,64,74,21,6,42,27,90,22,21,19,30,2
3.0,484,226,350,223,146,325,95,139,188,96,149,31,126,81,70,23,2,39,32,92,25,25,26,40,4
4.0,433,180,382,194,138,308,78,117,183,99,124,27,137,61,78,30,3,35,31,86,21,24,25,30,5
5.0,456,190,352,184,184,313,93,140,198,111,130,28,127,55,68,23,6,38,30,110,16,26,23,23,3
6.0,431,167,336,217,157,280,99,136,179,91,133,31,152,64,79,24,8,41,27,99,17,20,26,32,5
7.0,464,212,426,198,146,385,83,156,178,124,141,30,155,91,79,20,5,37,26,87,13,29,30,29,9
8.0,502,221,512,227,180,418,96,179,204,103,134,39,151,100,88,19,4,31,32,118,24,36,14,39,8
9.0,600,259,525,239,206,463,111,173,211,113,161,32,173,152,109,24,8,39,38,94,23,38,34,42,7
10.0,632,259,522,254,196,478,114,223,247,116,195,49,194,130,103,26,3,41,35,115,27,31,23,54,13
11.0,661,258,566,277,226,570,128,203,236,137,215,54,240,144,109,34,6,50,45,158,27,44,33,47,12
12.0,704,291,777,299,250,544,134,250,264,147,210,49,239,143,125,41,17,52,51,167,36,38,31,58,11
13.0,737,289,797,346,280,572,177,249,323,145,215,61,266,105,123,48,9,71,42,164,35,46,25,58,8
14.0,672,253,706,292,266,523,124,243,297,164,204,49,278,97,148,43,6,61,49,156,37,39,29,54,9
15.0,559,222,479,208,196,455,108,162,241,130,188,48,234,98,112,37,6,37,33,128,27,38,23,62,8
16.0,346,143,335,131,102,334,96,141,150,89,96,19,122,65,67,16,2,27,30,83,18,20,19,30,2
17.0,245,97,194,80,101,195,53,94,106,56,73,8,65,41,42,15,4,16,26,44,17,9,6,20,3
18.0,141,74,148,51,72,128,42,46,72,41,51,10,42,31,36,9,2,14,17,29,3,11,12,10,1
19.0,119,86,127,44,48,117,45,47,68,30,36,17,26,22,21,8,2,9,15,25,2,8,6,13,0
20.0,111,65,92,58,43,91,33,32,61,28,28,9,20,16,25,9,1,15,12,17,2,6,7,12,4
21.0,141,85,133,69,54,118,49,53,71,31,48,16,33,26,28,10,1,18,17,27,7,6,8,11,3
22.0,226,104,204,120,69,173,53,91,101,59,79,19,79,30,35,11,0,23,20,64,17,9,13,16,7
23.0,328,184,291,176,133,263,111,96,120,83,137,27,92,48,34,22,2,28,26,73,18,11,12,31,6
