hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,108,121,25,86,47,22,35,37,32,104,13,16,8,11,4,14,16,0,3,0
1.0,120,105,20,78,48,38,33,31,26,134,8,14,10,5,8,12,25,0,5,2
2.0,101,73,35,66,44,40,34,36,22,111,5,11,14,2,9,11,21,3,6,0
3.0,155,111,43,135,54,52,36,50,46,163,19,22,11,8,16,19,29,3,6,5
4.0,119,74,32,76,36,26,38,32,24,124,9,18,14,2,6,9,14,3,1,2
5.0,103,76,32,75,49,37,45,28,26,122,11,16,7,5,12,9,11,1,3,0
6.0,108,71,29,62,47,28,37,33,33,117,8,19,9,6,8,6,21,2,5,4
7.0,113,69,34,80,56,31,43,39,47,168,8,16,12,2,11,15,12,0,4,6
8.0,134,92,28,96,50,39,51,38,40,222,10,10,21,5,9,6,21,1,6,0
9.0,175,109,37,121,92,40,49,35,49,212,11,19,22,8,21,10,26,2,5,3
10.0,192,120,36,163,79,42,63,59,56,249,12,19,18,7,13,18,28,2,8,1
11.0,208,145,53,159,100,47,54,76,68,313,17,27,13,10,27,15,26,4,3,4
12.0,231,170,70,201,133,60,81,70,104,268,15,23,14,7,27,20,66,3,14,6
13.0,250,150,59,236,136,68,99,66,98,304,21,32,15,4,28,20,38,1,4,1
14.0,216,139,72,201,134,61,84,45,73,270,23,22,21,5,13,23,30,5,9,8
15.0,163,124,35,136,79,37,67,52,56,233,29,22,15,3,19,12,21,1,6,4
16.0,124,63,22,82,60,18,33,42,22,132,5,11,5,3,8,8,13,1,6,3
17.0,87,56,20,48,27,14,37,18,21,93,10,5,5,3,4,5,7,0,3,5
18.0,57,23,9,28,16,12,13,18,11,55,6,9,3,0,5,4,5,1,3,1
19.0,42,12,10,19,18,11,12,18,11,64,4,4,6,4,2,9,10,0,2,0
20.0,47,28,15,23,20,13,12,16,6,56,4,3,5,1,7,3,5,0,1,1
21.0,68,75,14,31,17,17,28,21,11,72,6,11,6,7,5,6,10,3,5,1
22.0,97,149,23,87,24,15,47,29,31,159,4,13,5,82,6,8,20,2,6,3
23.0,135,138,30,110,49,48,55,34,46,185,16,19,17,57,8,12,23,4,8,0
