hour,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25
0.0,500,170,262,154,140,247,81,140,153,86,101,23,91,42,44,17,3,37,22,53,19,13,20,21,5
1.0,456,173,279,172,155,295,99,119,160,94,123,28,115,39,54,23,3,26,23,59,16,19,18,18,3
2.0,420,157,341,174,158,279,89,103,139,89,133,24,128,61,79,18,6,35,32,91,29,18,17,31,3
3.0,475,204,335,206,206,337,83,135,159,87,141,31,140,59,66,32,5,42,37,92,27,21,27,32,9
4.0,394,195,365,194,150,312,83,118,190,102,119,27,114,52,88,13,8,30,30,81,24,24,14,45,2
5.0,506,179,364,165,130,308,90,132,302,90,121,33,134,64,64,18,9,42,24,96,19,25,21,40,4
6.0,472,173,366,150,117,272,99,138,302,109,109,23,142,45,77,23,4,32,30,77,22,23,15,23,3
7.0,469,197,422,174,174,338,102,146,256,101,130,24,127,75,84,28,4,36,39,66,28,29,19,40,4
8.0,538,220,452,208,228,422,84,145,326,102,121,30,166,105,88,24,4,31,33,91,27,28,30,33,4
9.0,610,219,484,228,188,461,122,172,322,101,145,36,169,127,101,31,4,36,37,103,22,41,17,35,5
10.0,551,238,479,192,181,419,115,180,360,106,135,36,185,160,102,27,6,38,40,116,23,42,22,47,7
11.0,667,247,572,241,221,523,131,214,369,104,174,50,193,150,118,26,9,37,50,115,22,41,26,49,4
12.0,721,355,557,246,236,592,140,229,358,116,192,49,212,117,128,50,11,39,45,127,27,46,22,64,5
13.0,873,378,573,276,224,618,131,197,377,141,178,51,252,111,116,36,7,32,43,166,32,51,25,52,13
14.0,744,252,552,255,210,499,125,201,358,140,174,42,250,105,109,33,10,42,43,132,20,34,24,51,5
15.0,606,199,474,215,195,396,98,194,284,112,150,31,230,100,107,35,6,36,46,121,30,27,28,34,4
16.0,363,182,350,125,161,270,74,119,181,73,82,19,124,57,88,32,1,32,37,74,15,24,12,25,1
17.0,247,111,238,80,96,206,63,87,135,45,66,14,74,38,52,18,2,20,24,43,13,13,14,22,4
18.0,158,81,175,53,75,147,39,57,102,30,46,9,51,29,37,12,4,13,13,28,7,11,12,12,1
19.0,125,56,122,39,40,142,27,53,73,24,33,8,39,29,29,11,2,9,15,25,4,8,10,15,3
20.0,108,66,90,51,48,103,29,40,76,20,25,8,30,25,24,7,2,13,9,11,8,7,5,11,1
21.0,142,97,97,50,46,127,36,32,85,38,48,6,37,16,25,5,1,10,11,20,8,12,4,10,2
22.0,205,99,122,72,99,144,51,63,93,35,69,9,44,30,17,12,4,6,16,44,13,13,13,20,4
23.0,313,147,207,126,117,270,82,102,168,69,122,22,93,49,43,12,3,27,19,62,14,16,14,26,2
