hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,43,340,48,41,6,70,22,12,42,35,70,29,11,40,16,6,9,6,7,4,3,1
1.0,35,372,59,32,12,69,15,8,41,31,76,24,4,33,15,9,5,12,3,3,1,1
2.0,46,384,53,35,11,69,8,12,56,35,86,12,11,20,12,8,8,9,3,5,0,0
3.0,72,505,92,64,18,107,26,10,65,32,124,30,10,51,24,20,22,25,4,2,5,0
4.0,50,417,67,30,16,74,22,12,60,34,97,28,17,26,16,10,19,17,2,2,2,0
5.0,45,400,70,43,17,84,23,10,56,30,93,24,7,37,21,15,13,8,4,4,3,1
6.0,36,422,109,48,20,61,28,15,55,30,78,14,11,37,14,19,10,22,4,4,2,4
7.0,53,511,174,46,26,78,39,7,56,39,112,20,12,35,19,11,17,21,5,5,1,2
8.0,92,614,164,47,37,68,37,11,85,46,132,27,18,51,32,12,9,38,7,5,2,0
9.0,90,713,247,81,46,97,54,26,92,45,140,27,21,29,38,20,13,30,8,6,1,2
10.0,100,633,199,71,57,96,56,21,88,48,119,37,19,48,35,25,16,25,4,12,4,2
11.0,94,684,267,72,48,120,56,22,105,56,144,24,30,48,43,26,20,30,6,3,2,3
12.0,101,677,222,80,47,100,83,21,88,58,142,25,24,47,48,20,17,32,10,8,1,2
13.0,121,656,258,92,45,133,82,18,78,69,120,47,31,43,47,15,13,22,10,4,3,5
14.0,100,610,242,63,39,128,81,26,91,57,137,26,28,34,40,24,22,36,5,5,1,3
15.0,63,508,174,42,32,119,50,18,71,33,103,26,9,31,36,13,19,27,7,4,6,0
16.0,38,350,98,37,19,66,25,11,50,33,76,17,9,27,16,20,8,10,3,0,3,0
17.0,30,228,64,17,10,47,18,9,33,21,57,7,9,16,9,3,5,7,3,3,1,0
18.0,7,144,64,7,5,30,10,7,25,16,28,6,5,12,7,1,2,6,3,1,1,0
19.0,9,136,41,9,6,26,7,9,12,13,31,9,1,4,6,3,3,1,2,0,1,1
20.0,9,97,25,12,2,25,8,4,11,5,21,10,5,11,6,2,2,1,1,0,0,1
21.0,2,61,9,3,4,7,8,0,5,1,15,2,1,10,2,1,0,2,0,2,0,0
22.0,31,396,42,26,9,48,20,8,35,24,94,21,14,22,19,8,7,8,1,6,0,1
23.0,48,395,44,43,12,75,19,14,30,22,101,18,10,37,17,9,14,12,1,3,2,2
