hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,95,99,37,15,49,42,34,33,29,6,46,16,19,4,22,8,7,15,14,9,11,20,45,49,17,8,18,23,18,8,4,4,8,11,11
1.0,131,122,29,13,87,55,53,28,38,5,47,18,21,8,30,6,10,17,16,20,12,31,64,72,21,15,35,25,12,2,2,5,2,5,21
2.0,101,123,41,17,72,72,35,24,34,11,51,25,23,10,32,10,6,19,23,14,17,25,79,93,18,12,24,22,10,16,6,5,5,12,17
3.0,133,90,50,29,84,83,59,28,41,16,62,21,16,11,26,9,12,24,33,13,16,37,74,117,24,16,51,30,22,9,1,5,8,8,11
4.0,105,115,42,35,66,78,39,22,25,20,62,14,29,13,32,16,9,13,29,11,10,31,66,78,34,8,35,29,14,8,2,6,5,18,10
5.0,113,103,26,21,64,69,41,37,22,9,55,21,25,10,29,11,12,25,22,17,11,27,56,86,30,10,31,32,20,9,2,3,4,8,13
6.0,117,110,31,19,59,70,51,28,42,16,69,26,19,16,25,8,13,29,32,6,11,31,63,85,21,6,28,27,21,7,4,7,5,8,15
7.0,121,120,37,32,69,78,53,33,23,19,67,18,25,8,32,12,10,22,29,13,8,29,66,88,23,9,30,22,18,5,0,10,7,13,15
8.0,139,108,32,32,80,95,47,41,27,17,56,28,33,6,32,8,14,27,33,13,15,33,76,102,24,14,33,26,19,11,4,9,10,20,16
9.0,142,125,52,35,88,86,52,28,34,14,73,39,22,12,35,8,16,29,35,22,14,52,79,89,23,15,37,29,15,6,3,11,9,14,19
10.0,144,132,46,50,84,72,58,36,31,13,79,44,21,16,40,9,12,22,39,16,13,35,53,135,30,11,35,47,31,11,7,10,9,23,18
11.0,191,152,59,31,101,113,62,44,33,14,78,53,22,12,52,12,14,19,33,10,24,68,123,156,29,10,43,52,34,11,3,14,12,21,34
12.0,202,162,62,54,110,110,76,40,54,13,90,56,24,14,45,10,21,25,40,19,18,60,97,167,44,10,38,45,23,8,7,15,10,19,21
13.0,199,195,60,66,391,136,83,33,59,10,126,86,51,10,55,19,11,24,46,27,13,50,100,175,42,10,57,48,33,16,7,13,16,16,34
14.0,220,165,59,64,163,91,70,42,47,9,82,72,32,13,60,17,10,28,51,22,11,68,104,147,44,12,57,50,41,10,4,9,17,20,30
15.0,141,134,30,46,107,82,57,31,33,10,69,27,25,7,37,11,15,24,34,17,12,39,89,125,26,9,28,44,20,3,11,6,12,11,12
16.0,93,68,55,27,38,52,48,14,23,2,51,23,23,3,39,8,6,7,24,10,10,24,44,89,18,11,14,28,11,3,3,10,6,9,10
17.0,59,42,23,26,34,34,22,5,14,0,29,11,11,5,19,4,5,5,11,7,7,21,22,45,9,3,11,11,7,5,2,12,2,5,12
18.0,38,30,7,14,23,25,9,13,7,3,13,3,4,5,6,2,1,1,4,3,4,15,26,17,9,6,5,8,1,1,0,3,8,5,6
19.0,45,22,11,19,16,13,13,4,8,0,11,7,3,6,0,4,9,4,6,2,2,11,16,24,10,3,6,5,6,0,1,2,2,1,8
20.0,47,22,7,8,13,22,14,10,7,3,9,7,5,2,4,1,3,1,7,3,6,7,14,14,8,2,8,7,5,1,1,3,0,2,9
21.0,55,36,13,8,22,17,22,7,4,0,13,3,13,5,8,6,5,2,5,7,6,9,14,17,9,6,13,11,1,1,3,3,1,4,2
22.0,60,71,19,22,33,42,17,9,17,4,24,11,18,8,19,3,6,5,14,8,3,12,24,35,9,5,15,13,10,1,6,3,4,4,8
23.0,93,76,27,18,77,37,27,27,20,7,47,14,19,13,26,9,9,9,22,17,11,22,32,55,34,20,22,31,11,9,2,3,8,9,17
