hour,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22
0.0,56,342,38,42,12,62,20,9,48,25,96,18,9,29,13,9,15,6,2,2,2,2
1.0,29,409,70,40,13,67,19,12,56,34,95,29,13,33,19,17,9,16,3,2,2,1
2.0,45,358,64,31,15,70,18,18,47,27,87,17,10,44,16,16,11,18,5,1,1,0
3.0,58,511,88,57,15,100,31,17,73,37,117,28,9,44,28,14,19,18,5,3,1,3
4.0,51,444,101,32,11,76,28,10,69,39,99,31,9,41,14,23,17,18,4,2,1,1
5.0,52,435,88,37,8,88,19,7,53,39,85,17,7,49,18,6,12,12,3,3,3,1
6.0,44,465,124,40,11,83,25,15,73,32,115,25,11,32,19,18,11,15,4,3,2,0
7.0,43,506,138,52,26,88,35,17,59,43,116,24,8,31,25,16,15,23,7,4,2,1
8.0,64,586,192,61,35,110,40,23,76,38,124,27,12,48,25,29,17,23,4,5,3,1
9.0,102,686,215,81,45,119,51,20,93,57,135,39,24,50,41,38,11,28,6,15,2,2
10.0,105,645,186,80,47,130,49,29,89,56,145,34,27,59,40,26,18,25,8,12,1,4
11.0,122,682,202,79,48,140,70,29,106,51,160,41,27,54,28,32,14,29,1,6,1,2
12.0,111,734,246,94,49,140,70,28,96,46,167,31,24,58,40,22,16,30,15,7,2,2
13.0,112,779,213,89,44,141,86,25,98,83,178,36,42,65,33,26,30,44,5,3,3,1
14.0,100,739,209,87,31,135,64,17,99,68,160,34,29,54,32,27,19,32,4,5,3,2
15.0,55,534,141,43,24,86,50,6,68,47,126,24,20,34,23,17,11,22,10,4,1,2
16.0,35,353,87,20,21,47,16,12,49,37,72,15,11,22,9,9,13,20,1,1,0,1
17.0,20,218,40,13,9,35,8,4,34,16,44,11,4,20,8,4,9,11,0,1,1,0
18.0,10,156,35,14,4,28,9,5,28,19,17,12,3,8,7,1,2,5,1,0,0,0
19.0,14,111,22,7,4,36,4,5,17,12,32,9,4,14,6,2,1,7,0,0,0,0
20.0,8,108,29,12,6,29,8,0,9,7,29,6,3,9,4,4,1,4,3,2,1,1
21.0,20,207,23,19,5,45,8,6,19,11,50,11,1,20,8,6,8,7,2,1,1,1
22.0,39,511,54,39,8,70,26,9,52,20,107,27,6,32,6,9,8,8,2,1,1,0
23.0,47,491,58,57,14,86,34,22,35,30,114,21,12,43,16,13,10,18,2,3,3,3
