hour,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35
0.0,85,121,37,25,61,58,42,33,22,12,50,19,24,12,40,11,7,4,18,13,17,21,55,77,25,24,13,32,14,5,3,3,6,12,17
1.0,92,95,43,29,83,66,38,40,27,12,61,23,30,14,32,12,8,13,26,22,15,31,75,76,28,13,26,26,21,4,3,7,10,11,13
2.0,116,135,45,25,95,52,34,21,24,14,69,14,27,17,32,6,13,20,31,15,16,30,54,95,24,12,25,26,14,8,4,5,4,8,23
3.0,117,133,51,33,78,65,43,28,25,11,72,32,18,9,37,15,23,14,35,25,11,35,75,96,24,14,35,26,15,7,6,3,6,9,22
4.0,140,133,37,34,79,67,41,34,26,15,57,20,19,9,20,8,17,15,24,20,7,44,72,95,20,18,19,34,13,5,2,4,12,9,18
5.0,102,136,45,41,66,78,38,40,28,13,59,31,26,10,29,12,7,16,26,23,13,38,51,96,23,11,33,34,17,8,4,5,12,10,16
6.0,121,125,43,26,65,84,52,31,27,19,60,24,24,8,27,8,15,14,30,19,14,32,59,95,22,12,39,28,12,4,5,6,8,9,9
7.0,102,126,44,30,73,90,45,30,22,17,59,26,24,7,28,17,17,19,27,17,11,31,72,105,28,11,28,26,20,2,1,4,10,13,13
8.0,139,134,54,33,66,88,53,27,24,18,64,33,27,6,39,8,18,24,38,24,19,55,78,106,37,15,29,45,20,3,4,5,6,18,13
9.0,135,172,56,33,73,84,38,26,40,8,89,46,35,12,50,10,20,25,19,22,22,34,85,103,31,12,32,44,15,4,2,4,8,23,36
10.0,155,187,64,57,76,85,51,34,45,12,99,58,31,15,41,10,12,20,27,15,13,31,80,125,31,14,40,53,32,3,5,22,9,21,19
11.0,213,196,52,75,95,97,75,47,78,14,110,130,30,11,40,14,35,25,58,23,14,26,111,171,35,17,43,40,41,16,3,15,16,29,23
12.0,201,186,87,56,107,127,86,46,57,12,92,95,27,9,58,10,15,27,60,29,16,65,89,185,41,13,57,50,44,12,8,13,22,18,32
13.0,210,227,75,82,109,109,81,53,65,20,130,109,46,12,61,16,20,26,63,22,25,63,107,164,41,20,45,47,38,8,9,14,10,25,34
14.0,205,215,73,99,75,121,71,48,44,11,126,67,38,19,57,18,25,25,48,23,13,70,117,177,41,10,59,58,20,10,9,16,9,24,28
15.0,156,162,61,71,89,91,64,29,46,10,95,64,24,11,60,18,16,19,38,29,18,37,83,122,37,14,34,41,42,13,5,13,10,13,24
16.0,119,87,33,47,45,42,41,19,25,4,56,27,23,11,28,7,8,13,30,17,11,29,44,93,20,8,16,43,18,5,6,9,12,9,17
17.0,67,62,18,23,39,42,20,15,16,1,25,19,7,6,13,4,3,4,25,11,9,23,45,51,13,9,8,13,4,5,0,5,5,5,8
18.0,60,41,9,10,19,26,6,11,12,2,13,12,9,4,7,2,5,2,15,8,4,20,20,30,9,7,5,10,2,1,0,3,1,3,4
19.0,46,38,8,3,26,14,13,9,5,0,11,4,5,3,6,1,7,2,6,1,4,10,12,30,8,3,4,3,4,3,0,1,4,3,5
20.0,36,21,18,9,13,16,7,3,8,1,13,5,10,7,6,1,6,3,6,6,2,10,12,14,10,3,4,4,3,0,0,2,1,4,4
21.0,45,41,17,14,23,22,20,7,8,2,18,7,12,4,9,3,6,5,9,6,6,10,16,21,14,3,6,10,2,1,1,2,2,10,2
22.0,70,71,26,12,34,35,25,17,21,2,36,10,27,3,21,5,6,4,11,8,7,21,30,53,7,8,21,24,8,4,2,10,6,11,9
23.0,113,93,37,23,51,40,29,24,30,13,47,9,19,5,41,12,12,15,13,9,17,28,38,67,40,13,24,22,7,5,3,16,7,10,14
