hour,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
0.0,102,78,36,75,30,27,36,22,33,125,8,17,4,5,9,10,9,2,6,2
1.0,136,107,37,79,36,40,34,22,27,112,9,14,14,6,7,12,17,2,4,2
2.0,115,92,29,80,50,38,36,35,24,116,8,20,10,6,9,7,19,1,5,3
3.0,152,112,54,133,61,25,53,45,42,166,17,14,18,13,25,33,26,4,4,3
4.0,100,78,46,91,44,27,42,37,23,117,10,13,10,4,19,16,18,3,4,4
5.0,118,60,35,94,31,39,39,41,28,140,14,14,11,2,5,10,14,0,2,3
6.0,94,75,40,94,39,27,30,32,26,116,7,15,6,3,9,12,20,3,5,3
7.0,117,84,31,80,41,45,37,36,34,135,15,18,11,3,4,15,16,6,5,0
8.0,144,94,29,96,47,41,56,43,37,193,23,18,13,7,8,20,28,4,4,4
9.0,166,111,36,117,69,45,47,50,45,247,15,22,10,8,14,23,27,0,5,7
10.0,141,115,32,143,71,50,76,53,47,253,10,25,19,9,17,15,40,5,4,2
11.0,192,131,46,140,96,56,71,56,82,234,17,22,13,8,8,16,31,5,11,3
12.0,158,150,55,163,121,43,91,55,80,251,13,16,11,11,12,14,28,4,8,5
13.0,220,137,79,183,121,69,91,54,64,235,15,23,19,7,18,21,34,3,4,4
14.0,172,140,90,187,115,51,116,54,64,243,17,21,16,10,30,22,24,1,5,3
15.0,159,110,51,182,109,49,91,45,54,200,15,17,14,3,16,12,26,4,6,6
16.0,95,61,30,122,68,24,38,32,51,167,14,19,6,3,12,12,23,5,9,2
17.0,84,34,19,63,27,23,36,24,23,68,3,4,4,2,7,8,6,1,1,1
18.0,53,25,8,36,17,13,16,15,12,68,5,4,2,0,5,4,8,0,2,0
19.0,42,20,15,27,19,17,11,11,18,52,4,1,1,1,2,6,1,0,4,2
20.0,38,25,4,21,29,8,18,22,11,44,5,2,3,3,4,5,6,2,3,2
21.0,57,45,15,33,24,19,17,22,24,63,4,3,5,5,3,6,7,1,5,2
22.0,79,125,19,79,26,17,42,20,24,130,4,10,8,8,5,9,12,3,1,0
23.0,135,122,29,104,44,33,50,42,37,127,15,15,14,7,10,11,21,4,5,3
